Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr,FLOW_cm,Compressive_Strength
304.0,0.0,140.0,214.0,6.0,895.0,722.0,51.0,38.46
147.0,89.0,115.0,202.0,9.0,860.0,829.0,55.0,25.21
143.0,131.0,168.0,217.0,6.0,891.0,672.0,69.0,26.42
145.0,106.0,136.0,208.0,10.0,751.0,883.0,61.0,26.02
141.1,0.6,209.5,188.8,4.6,996.1,789.2,53.0,30.43
342.0,136.0,0.0,225.0,11.0,770.0,747.0,61.0,32.04
291.0,104.0,0.0,231.0,9.0,857.0,725.0,69.0,30.43
349.0,0.0,178.0,230.0,6.0,785.0,721.0,68.5,43.95
287.0,94.0,121.0,188.0,9.0,904.0,696.0,61.0,43.01
297.1,40.9,239.9,194.0,7.5,908.9,651.8,67.0,49.17
145.0,0.0,227.0,240.0,6.0,750.0,853.0,58.5,36.59
320.0,127.0,164.0,211.0,6.0,721.0,723.0,20.0,46.36
310.0,0.0,143.0,218.0,10.0,787.0,804.0,46.0,36.19
336.0,134.0,0.0,222.0,6.0,756.0,787.0,64.0,31.9
194.3,0.3,240.0,234.2,8.9,780.6,811.3,78.0,38.46
160.0,0.0,250.0,168.0,12.0,1049.0,688.0,48.0,37.66
156.0,0.0,243.0,180.0,11.0,1022.0,698.0,57.0,33.78
274.0,89.0,115.0,202.0,9.0,759.0,827.0,68.0,35.52
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,42.5,32.44
265.0,86.0,111.0,195.0,6.0,833.0,790.0,60.0,37.39
298.0,107.0,137.0,201.0,6.0,878.0,655.0,26.0,41.27
354.0,0.0,0.0,234.0,6.0,959.0,691.0,54.0,33.91
252.0,76.0,97.0,194.0,8.0,835.0,821.0,54.0,33.11
140.1,11.8,226.1,207.8,4.9,1020.9,683.8,64.0,26.28
165.3,143.2,238.3,200.4,7.1,883.2,652.6,27.0,32.84
162.0,148.0,191.0,179.0,16.0,840.0,743.0,20.0,41.81
165.0,150.0,0.0,182.0,12.0,1023.0,729.0,20.0,18.26
140.2,30.5,239.0,169.4,5.3,1028.4,742.7,46.0,36.32
295.0,106.0,136.0,206.0,11.0,750.0,766.0,68.5,41.01
307.0,110.0,0.0,189.0,10.0,904.0,765.0,40.0,31.5
146.0,178.0,0.0,192.0,11.0,961.0,749.0,46.0,17.19
137.0,167.0,214.0,226.0,6.0,708.0,757.0,70.0,34.45
276.0,90.0,116.0,180.0,9.0,870.0,768.0,20.0,44.08
159.0,193.0,0.0,208.0,12.0,821.0,818.0,50.0,19.19
314.0,0.0,161.0,207.0,6.0,851.0,757.0,64.0,41.14
145.0,177.0,227.0,209.0,11.0,752.0,715.0,20.0,35.66
148.0,180.0,0.0,183.0,11.0,972.0,757.0,20.0,18.52
