0,1,2,3
2,6,1500,41
4,5,1250,28
11,4,1000,74
21,1,250,21
4,19,4750,69
4,2,500,4
4,1,250,4
4,1,250,4
16,1,250,16
2,5,1250,47
14,7,1750,45
4,1,250,4
16,5,1250,40
11,3,750,37
11,2,500,21
2,6,1500,75
2,8,2000,35
14,5,1250,28
4,4,1000,43
11,3,750,14
16,1,250,16
4,2,500,29
2,11,2750,79
9,9,2250,45
4,11,2750,95
4,4,1000,46
2,11,2750,88
2,1,250,2
14,13,3250,57
16,4,1000,28
22,1,250,22
16,8,2000,76
23,3,750,35
14,1,250,14
11,7,1750,29
14,2,500,16
11,1,250,11
38,1,250,38
4,2,500,13
2,15,3750,49
16,1,250,16
2,1,250,2
9,1,250,9
2,6,1500,15
23,1,250,23
4,10,2500,28
2,7,1750,32
14,1,250,14
2,6,1500,26
9,1,250,9
4,8,2000,46
4,4,1000,34
16,4,1000,33
23,1,250,23
2,6,1500,22
10,4,1000,16
4,2,500,4
4,6,1500,30
21,13,3250,57
2,1,250,2
14,8,2000,50
4,1,250,4
21,1,250,21
2,1,250,2
2,3,750,35
4,4,1000,26
4,7,1750,62
14,3,750,52
2,3,750,19
4,8,2000,34
2,5,1250,11
11,4,1000,61
23,12,3000,86
21,1,250,21
11,3,750,76
4,2,500,52
4,6,1500,38
4,9,2250,26
16,7,1750,64
14,7,1750,73
4,1,250,4
11,9,2250,72
14,4,1000,40
3,21,5250,42
2,12,3000,47
2,4,1000,35
2,6,1500,28
14,6,1500,34
11,3,750,23
2,4,1000,16
2,1,250,2
21,2,500,26
21,1,250,21
2,2,500,2
13,7,1750,76
11,3,750,16
23,1,250,23
23,38,9500,98
4,6,1500,14
16,4,1000,45
16,10,2500,89
17,7,1750,58
2,12,3000,95
4,2,500,41
8,10,2500,63
4,16,4000,98
6,3,750,14
2,1,250,2
4,6,1500,28
0,8,2000,59
2,2,500,11
4,2,500,23
2,4,1000,11
4,4,1000,18
14,4,1000,26
13,3,750,14
4,2,500,4
2,3,750,4
11,8,2000,41
4,1,250,4
14,5,1250,26
2,13,3250,32
14,7,1750,35
15,5,1250,33
11,12,3000,58
14,5,1250,28
4,12,3000,34
2,21,5250,52
