0,1,2,3
2,1,250,2
14,7,1750,47
6,2,500,11
2,2,500,22
6,22,5500,28
35,3,750,64
6,3,750,26
2,2,500,16
2,2,500,11
16,1,250,16
14,1,250,14
8,9,2250,64
4,4,1000,43
14,3,750,33
2,1,250,2
16,8,2000,76
4,9,2250,46
4,7,1750,58
8,15,3750,77
4,1,250,4
3,1,250,3
14,2,500,35
11,1,250,11
16,7,1750,28
4,12,3000,34
14,2,500,14
2,16,4000,81
21,1,250,21
2,6,1500,22
2,3,750,4
2,2,500,2
14,3,750,41
16,14,3500,83
16,4,1000,28
2,12,3000,70
11,2,500,11
2,6,1500,47
4,7,1750,62
4,1,250,4
12,15,3750,71
23,1,250,23
9,1,250,9
4,2,500,52
11,3,750,14
13,7,1750,76
2,8,2000,28
14,5,1250,74
2,1,250,2
4,7,1750,28
14,3,750,26
14,2,500,14
16,4,1000,23
16,1,250,16
21,3,750,64
2,10,2500,49
2,4,1000,35
2,1,250,2
16,5,1250,60
4,2,500,9
2,5,1250,34
16,4,1000,28
10,8,2000,39
23,12,3000,86
4,7,1750,52
4,10,2500,28
21,3,750,35
15,5,1250,33
4,2,500,59
4,3,750,25
11,4,1000,59
23,4,1000,52
21,2,500,23
16,7,1750,87
4,1,250,4
14,3,750,52
2,4,1000,70
11,5,1250,37
4,9,2250,26
11,1,250,11
23,6,1500,45
4,5,1250,58
4,1,250,4
11,2,500,26
11,16,4000,89
2,12,3000,47
4,6,1500,38
9,8,2000,38
11,3,750,28
11,1,250,11
2,4,1000,43
4,1,250,4
21,1,250,21
11,1,250,11
23,1,250,23
4,2,500,4
11,7,1750,64
2,1,250,2
9,2,500,16
2,3,750,21
2,4,1000,26
2,2,500,2
9,2,500,52
4,2,500,4
2,10,2500,28
2,15,3750,49
2,1,250,2
4,6,1500,14
16,1,250,16
4,16,4000,98
2,5,1250,16
14,2,500,14
4,7,1750,32
4,1,250,4
2,1,250,2
14,5,1250,64
16,1,250,16
2,1,250,2
2,3,750,77
4,33,8250,98
14,1,250,14
26,5,1250,49
14,1,250,14
4,1,250,4
4,8,2000,48
2,2,500,11
0,13,3250,28
2,6,1500,28
2,2,500,11
4,14,3500,86
2,44,11000,98
4,6,1500,16
11,5,1250,35
4,1,250,4
11,8,2000,41
14,3,750,35
2,2,500,14
21,1,250,21
2,1,250,2
11,9,2250,72
21,1,250,21
2,13,3250,32
2,9,2250,36
2,3,750,4
17,7,1750,58
23,8,2000,46
2,1,250,2
2,7,1750,58
2,5,1250,26
11,2,500,14
23,1,250,23
14,2,500,29
2,4,1000,14
11,6,1500,58
23,8,2000,64
4,1,250,4
9,2,500,26
4,2,500,46
11,4,1000,74
12,11,2750,23
14,1,250,14
2,10,2500,52
16,1,250,16
11,1,250,11
23,5,1250,33
2,3,750,19
14,2,500,21
23,5,1250,58
11,1,250,11
14,4,1000,64
4,2,500,30
2,11,2750,26
21,2,500,35
18,2,500,23
4,6,1500,52
11,11,2750,38
4,1,250,4
40,1,250,40
2,6,1500,45
2,34,8500,77
4,5,1250,35
14,3,750,31
