0,1,2,3
14,8,2000,26
11,7,1750,64
4,5,1250,35
14,4,1000,26
4,2,500,51
5,6,1500,28
4,2,500,30
4,1,250,4
2,2,500,11
16,6,1500,50
14,1,250,14
2,2,500,33
11,8,2000,41
16,1,250,16
2,1,250,2
16,2,500,27
2,3,750,14
11,6,1500,27
8,15,3750,77
2,1,250,2
9,11,2750,49
2,6,1500,28
14,4,1000,22
16,7,1750,28
2,6,1500,16
2,3,750,52
2,12,3000,98
74,1,250,74
1,10,2500,43
2,3,750,4
4,6,1500,35
9,2,500,52
23,19,4750,62
14,4,1000,40
4,2,500,4
12,12,3000,58
5,11,2750,75
8,9,2250,64
13,3,750,16
2,5,1250,63
23,7,1750,88
4,2,500,29
21,3,750,26
4,1,250,4
14,3,750,35
4,6,1500,16
23,2,500,26
2,1,250,2
4,7,1750,28
14,5,1250,50
14,8,2000,46
9,1,250,9
14,4,1000,57
4,4,1000,16
3,16,4000,74
2,4,1000,35
2,2,500,11
14,2,500,35
2,3,750,16
2,1,250,2
16,14,3500,83
2,4,1000,43
23,1,250,23
4,7,1750,52
4,10,2500,28
21,1,250,21
10,5,1250,38
16,1,250,16
4,1,250,4
16,1,250,16
9,9,2250,16
23,12,3000,86
16,7,1750,87
4,1,250,4
21,1,250,21
9,1,250,9
11,9,2250,72
2,6,1500,15
11,1,250,11
4,4,1000,4
14,16,4000,70
7,11,2750,89
9,3,750,52
12,15,3750,71
4,9,2250,26
2,2,500,11
4,6,1500,41
11,1,250,11
14,6,1500,51
4,5,1250,46
11,3,750,15
23,1,250,23
14,4,1000,38
2,4,1000,11
2,2,500,11
11,1,250,11
4,12,3000,88
11,14,3500,73
4,6,1500,43
2,12,3000,82
2,6,1500,22
21,1,250,21
4,2,500,4
11,2,500,38
17,7,1750,58
9,9,2250,45
7,10,2500,47
16,4,1000,58
4,6,1500,28
2,4,1000,16
11,3,750,23
2,12,3000,70
3,1,250,3
4,6,1500,47
9,2,500,52
23,14,3500,93
2,1,250,2
16,1,250,16
4,33,8250,98
21,3,750,38
26,5,1250,49
14,3,750,41
8,10,2500,63
4,5,1250,23
4,16,4000,98
1,16,4000,35
4,7,1750,22
2,9,2250,74
2,1,250,2
2,4,1000,23
2,14,3500,57
11,5,1250,38
9,8,2000,38
4,1,250,4
21,6,1500,48
11,11,2750,38
35,3,750,64
2,1,250,2
9,5,1250,51
23,1,250,23
2,21,5250,52
12,11,2750,23
2,14,3500,48
20,14,3500,69
14,5,1250,74
2,1,250,2
4,3,750,16
4,9,2250,40
4,5,1250,74
2,6,1500,26
14,1,250,14
4,5,1250,16
4,2,500,41
21,3,750,38
4,1,250,4
14,1,250,14
15,5,1250,33
21,3,750,35
4,3,750,16
11,4,1000,59
3,14,3500,35
14,4,1000,64
23,15,3750,57
23,2,500,23
2,1,250,2
14,2,500,21
23,3,750,41
21,13,3250,57
21,1,250,21
16,3,750,35
38,1,250,38
23,1,250,23
21,2,500,23
4,7,1750,58
2,1,250,2
10,8,2000,39
2,2,500,11
2,3,750,22
2,34,8500,77
4,5,1250,33
4,2,500,59
2,11,2750,88
4,9,2250,52
2,44,11000,98
4,1,250,4
2,11,2750,46
13,3,750,14
23,1,250,23
21,3,750,40
14,13,3250,57
21,2,500,41
2,6,1500,47
0,26,6500,76
16,7,1750,93
21,1,250,21
14,2,500,29
2,1,250,2
4,11,2750,78
2,9,2250,36
14,3,750,31
12,11,2750,39
2,12,3000,95
2,7,1750,14
9,5,1250,19
4,9,2250,55
4,2,500,4
11,8,2000,48
2,4,1000,16
3,21,5250,42
11,4,1000,74
2,3,750,21
4,1,250,4
2,2,500,11
11,1,250,11
23,1,250,23
2,3,750,22
2,1,250,2
2,3,750,9
13,4,1000,21
4,1,250,4
23,2,500,87
23,4,1000,52
21,2,500,52
4,1,250,4
4,6,1500,35
23,2,500,28
16,12,3000,50
2,2,500,11
23,2,500,26
14,1,250,14
4,4,1000,18
4,1,250,4
14,1,250,14
4,8,2000,40
16,5,1250,27
4,5,1250,16
2,7,1750,28
4,11,2750,61
11,1,250,11
4,7,1750,62
16,2,500,26
16,16,4000,77
21,2,500,23
14,4,1000,26
23,8,2000,64
11,2,500,11
23,1,250,23
23,4,1000,87
23,1,250,23
4,5,1250,26
4,8,2000,34
16,11,2750,40
4,1,250,4
11,10,2500,35
14,2,500,14
21,2,500,35
11,2,500,17
11,17,4250,79
14,2,500,14
11,24,6000,64
9,1,250,9
11,5,1250,18
14,18,4500,78
21,1,250,21
14,4,1000,28
4,1,250,4
22,1,250,22
11,9,2250,38
11,2,500,11
4,16,4000,70
16,2,500,16
2,4,1000,14
2,1,250,2
2,12,3000,52
2,9,2250,22
2,5,1250,26
4,2,500,4
2,2,500,4
11,1,250,11
2,2,500,16
2,6,1500,28
14,7,1750,73
2,7,1750,46
4,1,250,4
4,2,500,14
2,3,750,14
14,1,250,14
2,1,250,2
2,7,1750,32
4,9,2250,38
11,12,3000,58
16,1,250,16
14,2,500,14
4,2,500,52
23,1,250,23
4,10,2500,28
4,5,1250,34
4,7,1750,58
21,2,500,33
2,8,2000,35
14,2,500,14
2,41,10250,98
11,4,1000,16
23,3,750,89
2,20,5000,45
21,6,1500,86
2,10,2500,64
11,2,500,26
14,3,750,35
1,9,2250,51
2,7,1750,77
11,2,500,25
2,4,1000,26
4,5,1250,58
4,6,1500,46
4,16,4000,38
72,1,250,72
7,5,1250,52
23,2,500,28
14,1,250,14
4,1,250,4
11,4,1000,61
4,20,5000,69
2,4,1000,16
11,2,500,21
4,10,2500,28
23,3,750,62
4,1,250,4
6,3,750,26
4,11,2750,95
21,2,500,21
11,5,1250,35
16,2,500,70
4,11,2750,64
2,6,1500,16
14,2,500,14
4,6,1500,14
2,2,500,10
2,2,500,4
2,6,1500,26
16,3,750,46
40,1,250,40
14,3,750,79
8,9,2250,58
2,4,1000,14
11,7,1750,75
2,3,750,24
2,2,500,2
11,7,1750,37
2,12,3000,47
11,1,250,11
11,8,2000,72
2,2,500,2
14,5,1250,28
23,1,250,23
14,2,500,14
2,7,1750,29
2,11,2750,41
16,3,750,21
4,1,250,4
11,1,250,11
16,1,250,16
2,6,1500,22
21,1,250,21
23,3,750,48
16,10,2500,89
2,11,2750,28
3,5,1250,38
14,2,500,35
1,14,3500,58
14,3,750,28
1,13,3250,47
2,9,2250,75
14,7,1750,47
4,6,1500,39
4,1,250,4
14,4,1000,30
0,2,500,4
2,7,1750,77
4,6,1500,38
18,2,500,23
16,3,750,19
2,5,1250,11
38,1,250,38
23,6,1500,70
11,5,1250,41
2,50,12500,98
14,2,500,14
4,2,500,4
11,6,1500,41
2,6,1500,75
7,14,3500,48
11,1,250,11
4,1,250,4
4,14,3500,86
4,6,1500,52
4,7,1750,52
5,7,1750,26
2,16,4000,64
21,4,1000,52
3,6,1500,21
21,1,250,21
16,1,250,16
2,4,1000,16
23,3,750,28
11,8,2000,46
11,8,2000,52
16,4,1000,23
2,2,500,4
12,13,3250,59
4,1,250,4
16,8,2000,28
2,1,250,2
4,5,1250,58
11,7,1750,29
11,9,2250,33
16,4,1000,40
11,2,500,16
2,2,500,14
6,17,4250,70
4,3,750,34
2,11,2750,79
16,1,250,16
4,8,2000,26
23,5,1250,58
11,1,250,11
2,11,2750,23
2,13,3250,53
1,7,1750,57
21,1,250,21
4,7,1750,82
11,3,750,37
2,11,2750,46
4,11,2750,28
11,5,1250,37
14,2,500,16
4,9,2250,28
2,2,500,22
14,3,750,52
14,7,1750,26
16,5,1250,40
11,16,4000,89
23,3,750,39
4,6,1500,14
11,2,500,52
11,4,1000,28
16,3,750,50
16,3,750,23
14,1,250,14
21,3,750,35
