0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.141875,0.141298105,0.133648729,0.133526012,0.169453735,0.15992004,0.149300156,0.196035242,0.118811881,0.106457243,0.131471786,0.117170626,0.074484147,0.288863976,0.10589942,0.091202211
0.64,0.627800115,0.628622117,0.679768786,0.676700111,0.628685657,0.700881286,0.691629956,0.79269802,0.778359511,0.796974985,0.740280778,0.684448918,0.769058296,0.704545455,0.676646707
0.4075,0.473291212,0.33885275,0.39017341,0.400222965,0.365317341,0.34836703,0.403964758,0.42759901,0.478184991,0.432809773,0.440064795,0.372420735,0.513452915,0.338974855,0.3288807
0.514375,0.511774842,0.502661147,0.542774566,0.471571906,0.484757621,0.478486262,0.500881057,0.57549505,0.620127981,0.56777196,0.673326134,0.580775038,0.629671151,0.580754352,0.525103639
0.319375,0.310740953,0.283855707,0.328323699,0.278149387,0.255372314,0.251944012,0.304845815,0.326113861,0.35892961,0.346713205,0.361771058,0.275792652,0.454035874,0.287717602,0.297558729
0.558125,0.563469271,0.5156712,0.580924855,0.677814939,0.629685157,0.648522551,0.673127753,0.475247525,0.518324607,0.489819663,0.516198704,0.630598893,0.718236173,0.63926499,0.661446338
0.28125,0.277426766,0.260201064,0.292485549,0.336120401,0.27936032,0.304302748,0.336123348,0.316212871,0.326934264,0.333333333,0.336933045,0.393558128,0.550822123,0.431818182,0.410870567
0.6875,0.627800115,0.653459491,0.74566474,0.516164994,0.44077961,0.474339036,0.513215859,0.478960396,0.543920884,0.574752763,0.500539957,0.375440362,0.507473842,0.374758221,0.414555504
0.683125,0.547960942,0.359550562,0.370520231,0.789297659,0.412793603,0.244686366,0.289867841,0.543935644,0.688190809,0.422920303,0.388768898,0.706592854,0.784379671,0.337040619,0.314601566
0.3075,0.353819644,0.262566529,0.350289017,0.256410256,0.248375812,0.223950233,0.3,0.277227723,0.344968005,0.328097731,0.337473002,0.22294917,0.414798206,0.22098646,0.22754491
0.5275,0.52039058,0.524541691,0.624277457,0.477703456,0.48025987,0.45930534,0.523788546,0.510519802,0.540430483,0.569517161,0.615550756,0.590337192,0.774663677,0.675048356,0.728235836
0.295,0.263641585,0.242460083,0.25433526,0.262541806,0.216391804,0.22809746,0.253303965,0.430074257,0.401396161,0.406631763,0.36987041,0.341217916,0.435351271,0.296421663,0.258406264
0.386875,0.392877657,0.410999409,0.43583815,0.406354515,0.366316842,0.427682737,0.443171806,0.362623762,0.378126818,0.421175102,0.429805616,0.350276799,0.50186846,0.402321083,0.38876094
0.56375,0.573233774,0.538734477,0.560693642,0.489409142,0.471264368,0.453602903,0.486343612,0.571163366,0.607911576,0.578243165,0.587473002,0.479114243,0.612855007,0.497582205,0.461538462
0.6275,0.651924182,0.612063868,0.659537572,0.672240803,0.631184408,0.639709694,0.627312775,0.625618812,0.656195462,0.598603839,0.665766739,0.571716155,0.70142003,0.572533849,0.600184247
0.59625,0.52039058,0.523950325,0.537572254,0.338907469,0.24187906,0.32503888,0.327312775,0.423267327,0.378126818,0.433391507,0.399568035,0.323100151,0.48019432,0.367504836,0.298479963
0.540625,0.516369902,0.62211709,0.686127168,0.540133779,0.537231384,0.624157595,0.584581498,0.603960396,0.648051193,0.777196044,0.760259179,0.507297433,0.638639761,0.667311412,0.555043759
0.8875,0.649052269,0.64163217,0.672254335,0.650501672,0.556221889,0.534992224,0.518942731,0.5625,0.610820244,0.480511926,0.484341253,0.758933065,0.837817638,0.721953578,0.459695993
0.569375,0.51120046,0.625073921,0.612716763,0.734113712,0.675162419,0.754795231,0.723788546,0.392326733,0.407213496,0.445026178,0.453023758,0.694011072,0.810164425,0.766924565,0.656379549
0.473125,0.483055715,0.395032525,0.484393064,0.562430323,0.494252874,0.43908761,0.528193833,0.545173267,0.556719023,0.460732984,0.51187905,0.422747861,0.586696562,0.315764023,0.371718102
0.685625,0.62894888,0.684210526,0.666473988,0.344481605,0.255872064,0.269569725,0.305726872,0.767945545,0.634671321,0.682373473,0.681425486,0.499748364,0.657698057,0.475338491,0.438968217
0.39875,0.383113153,0.367238321,0.443930636,0.302118172,0.272863568,0.269051322,0.317180617,0.321163366,0.278068645,0.355439209,0.304535637,0.229491696,0.397234679,0.23549323,0.268079226
0.631875,0.636990235,0.542874039,0.617919075,0.672798216,0.539230385,0.501296008,0.507929515,0.568069307,0.627690518,0.589877836,0.612850972,0.587820835,0.736920777,0.536750484,0.411791801
0.346875,0.345203906,0.302188054,0.325433526,0.430880713,0.404297851,0.401762571,0.421585903,0.452970297,0.437463642,0.411285631,0.657667387,0.373930549,0.490284006,0.350580271,0.331644404
0.645,0.651924182,0.597871082,0.649132948,0.746934225,0.694652674,0.65318818,0.649339207,0.751237624,0.723094823,0.696916812,0.675485961,0.6532461,0.715246637,0.582205029,0.585444496
0.624375,0.595634693,0.624482555,0.59132948,0.375696767,0.363318341,0.354587869,0.365638767,0.462252475,0.468295521,0.431064572,0.427645788,0.450931052,0.534379671,0.399903288,0.382772916
0.3725,0.372774268,0.365464222,0.357225434,0.468227425,0.43928036,0.505961638,0.528634361,0.355816832,0.352530541,0.358347877,0.355291577,0.571716155,0.690209268,0.656189555,0.585444496
0.591875,0.572659391,0.465996452,0.542774566,0.433110368,0.454272864,0.458786936,0.516299559,0.515470297,0.55788249,0.575334497,0.480561555,0.375943634,0.584828102,0.559961315,0.543988945
0.3675,0.357265939,0.328799527,0.342196532,0.275919732,0.245877061,0.281493002,0.302202643,0.454207921,0.461314718,0.471785922,0.457883369,0.277302466,0.446562033,0.281431335,0.269921695
0.44875,0.627225732,0.29390893,0.354913295,0.559085842,0.756621689,0.401762571,0.438325991,0.650990099,0.764397906,0.425247237,0.457883369,0.476597886,0.742152466,0.296421663,0.292952556
0.66875,0.623205055,0.518036665,0.606358382,0.945930881,0.757621189,0.798859513,0.724229075,0.732054455,0.568353694,0.694008144,0.6587473,0.510820332,0.778400598,0.41827853,0.29571626
