Xloc,Yloc,Landuse.1,Landuse.2,Landuse.3,Landuse.4,Rock.1,Rock.2,Rock.3,Rock.4,Rock.5,Cr,Ni,Pb,Zn
0.905622037,0.124467673,0,0,1,0,0,0,0,0,1,0.376124775,0.354158532,0.065405943,0.155850792
0.463535787,0.280294232,0,1,0,0,0,1,0,0,0,0.553089382,0.541585318,0.210436514,0.206779084
0.349740348,0.508904375,0,0,1,0,1,0,0,0,0,0.198560288,0.122217884,0.082468363,0.11173565
0.560171596,0.089818041,0,1,0,0,0,0,1,0,0,0.955608878,0.525185474,0.749608986,0.827456992
0.729284263,0.719125048,0,0,1,0,0,0,1,0,0,0.339532094,0.201093323,0.080051187,0.091125873
0.775344322,0.631242741,0,0,1,0,0,0,0,0,1,0.407918416,0.386177275,0.146878999,0.20183955
0.831338903,0.31358885,0,1,0,0,0,1,0,0,0,0.611877624,0.539242483,0.107066686,0.288707205
0.142470084,0.337398374,0,0,1,0,0,1,0,0,0,0.50629874,0.577508786,0.102801081,0.210355987
0.325355611,0.092915215,0,0,1,0,1,0,0,0,0,0.176364727,0.063647013,0.06512157,0.032192131
0.884624069,0.108401084,0,0,1,0,0,0,0,0,1,0.515896821,0.488481062,0.107066686,0.273377619
0.415895236,0.366434379,0,0,1,0,0,0,0,0,1,0.51169766,0.37758688,0.316081331,0.363311191
0.726349063,0.543360434,0,1,0,0,0,1,0,0,0,0.377324535,0.415853182,0.080051187,0.140521206
0.77037706,0.395083237,1,0,0,0,0,1,0,0,0,0.0,0.0,0.155410209,0.15074093
0.030480921,0.218350755,1,0,0,0,0,1,0,0,0,0.449910018,0.242483405,0.06554813,0.091125873
0.658162113,0.816298877,0,1,0,0,0,0,0,0,1,0.670065987,0.346349082,0.085738661,0.407937319
0.672612328,0.973867596,0,1,0,0,0,1,0,0,0,0.628074385,0.540804373,0.105644817,0.166070516
0.471664033,0.345915602,0,1,0,0,0,1,0,0,0,0.552489502,0.428348301,0.115740082,0.223811957
0.892300745,0.232094464,0,1,0,0,0,0,0,0,1,0.472105579,0.344006248,0.105644817,0.235905297
0.597200271,0.303329462,0,0,1,0,0,1,0,0,0,0.472105579,0.553299492,0.071235604,0.229943792
0.636938361,0.47754549,0,0,1,0,0,0,0,0,1,0.439112178,0.340101523,0.081473056,0.203542838
0.186046512,0.280874952,0,1,0,0,0,0,1,0,0,0.730053989,0.522061695,0.134082184,0.275080906
0.380221269,0.468060395,0,1,0,0,0,0,1,0,0,0.554289142,0.548613823,0.089293331,0.267586442
0.648453375,0.558072009,0,1,0,0,0,1,0,0,0,0.377924415,0.338539633,0.057443481,0.120081758
0.417701513,0.698993419,0,0,1,0,1,0,0,0,0,0.415116977,0.17219836,0.082894924,0.09282916
0.783698352,0.287456446,0,0,1,0,0,1,0,0,0,0.602879424,0.632955877,0.212284942,0.338102538
0.715737187,0.631823461,0,0,1,0,0,1,0,0,0,0.383323335,0.367434596,0.181003839,0.218872424
0.172951005,0.296747967,0,1,0,0,0,0,1,0,0,0.50629874,0.344787193,0.081473056,0.114971896
0.27184466,0.523228804,1,0,0,0,1,0,0,0,0,0.476304739,0.379929715,0.135077492,0.308635667
0.108376609,0.203639179,0,0,1,0,0,0,1,0,0,0.389322136,0.258102304,0.060287217,0.166070516
0.526529691,0.721060782,1,0,0,0,1,0,0,0,0,0.221955609,0.121436939,0.059434096,0.113268608
0.450891849,0.104529617,0,0,1,0,1,0,0,0,0,0.421115777,0.276064037,0.099957344,0.138817919
0.545721382,0.143050716,0,0,1,0,1,0,0,0,0,0.419316137,0.248730964,0.056448173,0.252597513
0.475050802,0.602787456,0,0,1,0,0,0,0,0,1,0.167966407,0.054275674,0.091426134,0.06727985
0.261910138,0.12253194,0,0,0,1,1,0,0,0,0,0.262747451,0.124560718,0.098535476,0.104752172
0.312937458,0.128145567,0,0,1,0,1,0,0,0,0,0.223155369,0.087075361,0.094269871,0.063362289
0.511853692,0.02303523,1,0,0,0,0,1,0,0,0,0.543491302,0.325263569,0.246409782,0.263157895
0.865658162,0.176538908,0,0,1,0,0,0,0,0,1,0.353929214,0.229207341,0.064268449,0.137114631
0.698577557,0.680603949,0,1,0,0,0,0,1,0,0,0.718056389,0.464271769,0.168207024,0.315959802
0.85527207,0.534068912,0,0,1,0,0,1,0,0,0,0.454109178,0.44240531,0.06284658,0.252938171
0.658387898,0.276616338,0,1,0,0,0,1,0,0,0,0.50989802,0.441624365,0.070098109,0.251575541
0.671483405,0.168215254,0,0,1,0,0,0,1,0,0,0.380923815,0.304959,0.241717617,0.304888435
0.305034997,0.090011614,0,0,1,0,1,0,0,0,0,0.369526095,0.182350644,0.119863501,0.133708057
0.199819372,0.081494386,0,0,1,0,1,0,0,0,0,0.592081584,0.420538852,0.269159676,0.639584398
0.483630616,0.605110337,0,0,1,0,0,0,0,0,1,0.281943611,0.059742288,0.112754159,0.155850792
0.921201174,0.170925281,0,0,1,0,0,1,0,0,0,0.529694061,0.476766888,0.070098109,0.195026401
0.407089636,0.252806814,0,1,0,0,0,1,0,0,0,0.652069586,0.415072237,0.050049765,0.241015159
0.264393768,0.174409601,0,0,1,0,0,0,1,0,0,0.51109778,0.284654432,0.225081757,0.227388861
0.395574622,0.485288424,0,0,1,0,0,0,1,0,0,0.398920216,0.24638813,0.054457557,0.148526656
0.743508693,0.610336818,1,0,0,0,0,1,0,0,0,0.374925015,0.31276845,0.055595052,0.128598195
0.522917137,0.546457607,0,1,0,0,0,0,1,0,0,0.655068986,0.37914877,0.043082611,0.169477091
0.424023482,0.319783198,0,0,1,0,0,0,0,0,1,0.396520696,0.355720422,0.428266742,0.300970874
0.57213818,0.131049168,0,0,1,0,0,0,1,0,0,0.227954409,0.101913315,0.076496516,0.079713848
0.315646873,0.37514518,1,0,0,0,0,1,0,0,0,0.676064787,0.567356501,0.165363287,0.227388861
0.442763604,0.671893148,0,0,1,0,1,0,0,0,0,0.310137972,0.070675517,0.033982653,0.062340317
0.576879657,0.131823461,0,0,1,0,0,0,1,0,0,0.274745051,0.222178836,0.050049765,0.080906149
0.193948973,0.279907085,0,1,0,0,0,0,1,0,0,0.862027594,0.490042952,0.163941419,0.327882814
0.959810341,0.165892373,0,0,1,0,0,1,0,0,0,0.440911818,0.419757907,0.050334139,0.164367229
0.41070219,0.427409988,0,1,0,0,0,1,0,0,0,0.535092981,0.415072237,0.072941846,0.23011412
0.130955069,0.201897019,0,1,0,0,0,0,1,0,0,0.386322735,0.259664194,0.066827812,0.172883665
0.641228268,0.790747193,0,0,1,0,0,0,0,0,1,0.592081584,0.458024209,0.219394284,0.326179526
0.808083089,0.703252033,0,0,1,0,0,0,1,0,0,0.664067187,0.51659508,0.111332291,0.280190768
0.54414089,0.850754936,1,0,0,0,1,0,0,0,0,0.379124175,0.252635689,0.035973269,0.072389712
0.467374125,0.282617112,0,1,0,0,0,1,0,0,0,0.720455909,0.79929715,0.158111759,0.223130642
0.441183111,0.386566009,0,0,1,0,0,1,0,0,0,0.685662867,0.576727841,0.175742926,0.330948731
0.140663807,0.195702671,0,1,0,0,0,0,1,0,0,0.832033593,0.472081218,0.738376226,0.491398399
0.560623166,0.854239257,0,1,0,0,1,0,0,0,0,0.49670066,0.381491605,0.062562207,0.223982286
0.775344322,0.630081301,0,0,1,0,0,0,0,0,1,0.388122376,0.371339321,0.039101379,0.147334355
0.636486792,0.787843593,0,0,1,0,0,0,0,0,1,0.556088782,0.401015228,0.266315939,0.356838699
