,OOB Trees,Small RF,RF,DT,Bellatrex,n. rules,HS,HS (display)
andro,9.62,9.18,347.5556,2.7644,8.7711,2.5844,5.42,19
atp1d,19.8567,19.406,754.0418,6.4806,19.0119,2.609,3.6478,19
atp7d,20.0475,20.2441,808.2678,7.3661,18.9695,2.5119,3.6508,19
edm,9.271,9.2972,461.3613,4.1525,9.2454,2.0198,3.7176,19
enb,18.584,18.648,770.334,6.982,18.554,2.42,3.918,19
ENB2012,18.33,18.442,761.684,6.892,18.324,2.404,4.13,19
jura,20.7062,20.5295,790.7655,6.6316,20.8739,2.5729,4.4434,19
oes10,24.3775,24.3975,851.3675,7.445,24.4925,2.8225,4.4,19
oes97,23.7269,23.0527,833.8009,7.4131,23.263,2.8247,4.2462,19
osales,55.074,57.534,2003.088,11.652,49.874,2.662,4.718,19
rf1,30.936,30.666,1240.582,11.894,30.4,2.484,3.43,19
rf2,27.976,27.982,1143.664,10.788,27.484,2.452,3.976,19
scm1d,33.654,33.46,1314.83,12.088,33.816,2.55,3.766,19
scm20d,34.838,35.138,1307.052,12.244,34.844,2.64,4.01,19
scpf,27.128,27.708,1215.81,10.83,27.75,2.244,3.37,19
sf1,12.3438,12.8844,626.4688,5.9469,12.4219,1.8875,4.5469,19
sf2,17.108,16.442,815.974,7.446,17.05,1.968,4.554,19
slump,13.21,13.3,540.3,4.28,13.72,2.46,4.89,19
wq,29.284,29.038,1064.744,8.742,30.08,2.744,4.088,19
average,23.4775,23.5447,929.0364,8.002,23.1024,2.4664,4.1538,19
