,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
birds,"(645, 260)",19,0.9199,0.9035,,0.7914,0.9829,3251
CAL500,"(502, 68)",174,0.5781,0.5882,,0.5375,0.9731,4371
emotions,"(593, 72)",6,0.852,0.8503,,0.8,0.9756,1927
enron,"(1702, 1001)",53,0.8192,0.7995,,0.7443,0.9783,6630
flags,"(193, 19)",7,0.7458,0.7317,,0.6877,0.904,464
genbase,"(662, 1185)",27,1,0.9999,,0.9992,0.9539,6452
langlog,"(1460, 1004)",75,0.7575,0.7783,,0.5848,0.9751,6765
medical,"(978, 1449)",45,0.9841,0.9759,,0.9299,0.9617,7241
ng20,"(4379, 1006)",20,0.9631,0.9319,,0.9089,0.911,6361
scene,"(2407, 294)",6,0.9477,0.9335,,0.8993,0.9889,3432
slashdot,"(3782, 1079)",22,0.8691,0.822,,0.7985,0.8873,6168
stackex_chess,"(1675, 585)",227,0.833,0.8356,,0.6819,0.9338,5993
yeast,"(2417, 103)",14,0.7455,0.7239,,0.6771,0.9608,2638
average,,53.46,0.8473,0.8365,,0.7723,0.9528,4745.62
