,OOB Trees,Small RF,RF,DT,Bellatrex,n. rules,SIRUS,HS,HS (display)
airfoil,22.622,22.464,974.122,8.75,23.102,2.302,13.8,4.168,19
AmesHousing,29.106,28.854,1226.128,11.054,29.848,2.354,14.0,3.846,19
auto_mpg,16.4354,16.7772,723.3747,6.1747,16.7468,2.2835,12.0,3.7316,19
bike_sharing,21.57,21.488,927.242,8.144,21.858,2.314,14.8,4.464,19
boston_housing,21.766,20.568,904.35,7.458,21.326,2.34,12.2,3.584,19
california_housing,37.744,37.824,1640.754,14.574,38.604,2.288,13.0,3.924,19
car_imports_1985_imputed,15.69,15.765,675.405,5.51,14.93,2.305,14.2,4.765,19
Computer_hardware,17.6749,17.6115,724.5084,5.6115,16.8294,2.3009,14.8,4.1887,19
concrete_compressive_strength,22.25,22.788,944.664,8.406,22.772,2.38,12.2,4.132,19
concrete_slump_data,11.32,11.68,518.95,3.87,11.76,2.3,13.4,4.63,19
ENB2012_cooling,17.7,17.636,761.922,6.918,17.688,2.314,14.2,3.924,19
ENB2012_heating,17.34,17.246,762.45,6.806,17.32,2.264,15.0,4.36,19
forest_fires,20.404,20.24,888.554,8.88,20.314,2.266,10.0,5.876,19
PRSA_data,41.296,41.304,1691.262,15.528,41.26,2.434,15.6,4.198,19
slump_dataset,12.07,12.55,512.76,4.39,12.27,2.41,13.4,4.86,19
students_final_math,19.1114,18.5848,819.6633,6.8835,19.3443,2.2987,14.8,4.5367,19
wine_quality_all,28.45,28.094,1404.432,12.784,29.282,2.024,14.2,3.714,19
wine_quality_red,22.852,23.324,1105.812,9.504,23.702,2.094,11.2,4.078,19
wine_quality_white,28.772,28.824,1380.954,12.346,29.232,2.11,14.2,4.204,19
average,22.3249,22.2959,978.2793,8.6101,22.5362,2.2833,13.5265,4.2728,19
