,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time,
andro,"(49, 30)",6,0.0959,0.096,,0.0865,0.8931,113,
atp1d,"(337, 370)",6,0.0484,0.0505,,0.0545,0.875,2124,
atp7d,"(296, 370)",6,0.047,0.0516,,0.072,0.9299,1707,
edm,"(154, 16)",2,0.1194,0.1188,,0.1037,0.8178,269,
enb,"(768, 8)",2,0.0227,0.0229,,0.0232,0.7209,962,
ENB2012,"(768, 8)",2,0.0235,0.0236,,0.024,0.7426,948,
jura,"(359, 15)",3,0.0678,0.0705,,0.0732,0.539,678,
oes10,"(403, 298)",16,0.0218,0.0221,,0.0269,0.8941,1873,
oes97,"(334, 263)",16,0.0293,0.0295,,0.035,0.855,1479,
osales,"(639, 401)",12,0.0378,0.0403,,0.0413,0.6318,2951,
rf1,"(9125, 64)",8,0.0023,0.0264,,0.0025,0.164,2192,
rf2,"(4332, 576)",8,0.0038,0.0253,,0.0043,0.3485,4312,
scm1d,"(9803, 280)",16,0.0253,0.0474,,0.0288,0.8546,5576,
scm20d,"(8966, 61)",16,0.0309,0.0651,,0.0353,0.6845,2025,
scpf,"(1137, 23)",3,0.0113,0.0111,,0.0103,0.4179,1003,
sf1,"(323, 10)",3,0.0772,0.0756,,0.0741,0.7356,574,
sf2,"(1066, 9)",3,0.0321,0.0316,,0.0316,0.5809,891,
slump,"(103, 7)",3,0.1451,0.1472,,0.1357,0.6103,156,
wq,"(1060, 16)",14,0.1681,0.1727,,0.1696,0.7651,888,
average,,7.63,0.0531,0.0594,,0.0543,0.6874,1616.89,
