,data size,n labels,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
birds,"(645, 260)",19,0.9199,0.9035,,0.819,0.9859,9958
CAL500,"(502, 68)",174,0.5781,0.5882,,0.5428,0.9731,13163
emotions,"(593, 72)",6,0.852,0.8503,,0.8205,0.9772,4147
enron,"(1702, 1001)",53,0.8192,0.7995,,0.7707,0.9847,15631
flags,"(193, 19)",7,0.7458,0.7317,,0.7237,0.9115,1078
genbase,"(662, 1185)",27,1,0.9999,,0.9977,0.9465,15006
langlog,"(1460, 1004)",75,0.7575,0.7783,,0.6075,0.9886,15201
medical,"(978, 1449)",45,0.9841,0.9759,,0.9497,0.97,17041
ng20,"(4379, 1006)",20,0.9631,0.9319,,0.9225,0.9169,15322
scene,"(2407, 294)",6,0.9477,0.9335,,0.9195,0.9908,7234
slashdot,"(3782, 1079)",22,0.8691,0.822,,0.8186,0.8873,15914
stackex_chess,"(1675, 585)",227,0.833,0.8356,,0.6928,0.9404,14139
yeast,"(2417, 103)",14,0.7455,0.7239,,0.6777,0.9662,8416
average,,53.46153846,0.847307692,0.836476923,,0.789438462,0.956853846,11711.53846
