,data size,Original R(S)F,Shallow R(S)F,--,Local perf,Local dissim,elapsed_time
addicts,"(238, 3)",0.6497,0.6486,,0.6503,0.5771,627
ALS-imputed-70,"(5324, 76)",0.8033,0.7778,,0.8031,0.9378,7261
breast_cancer-survival-imputed,"(198, 80)",0.6524,0.648,,0.644,0.9861,634
DBCD,"(295, 4919)",0.7549,0.7595,,0.7072,0.9981,14316
DLBCL,"(240, 7399)",0.6352,0.6388,,0.6118,0.9966,18094
echocardiogram,"(130, 9)",0.4145,0.4148,,0.4212,0.8552,317
FLChain-single_event-imputed,"(7874, 8)",0.8312,0.8253,,0.8317,0.7412,2252
gbsg2,"(686, 8)",0.7022,0.702,,0.7025,0.7586,1185
lung,"(228, 8)",0.6216,0.6137,,0.6175,0.8321,967
NHANES_I-imputed,"(9931, 18)",0.8205,0.8117,,0.8215,0.8299,10921
primary_biliary_cirrhosis,"(403, 19)",0.8469,0.8478,,0.8457,0.8549,1336
rotterdam-excl-recurr,"(2982, 11)",0.7954,0.7953,,0.7958,0.7527,1780
rotterdam-incl-recurr,"(2982, 12)",0.9038,0.8964,,0.905,0.8015,1996
veteran,"(137, 9)",0.7349,0.7326,,0.7389,0.7952,397
whas500,"(500, 14)",0.7449,0.746,,0.7466,0.8169,1581
average,,0.7274,0.7239,,0.7229,0.8356,4244.266667
