0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,0,1.0,-0.09524,-1.0,-1.0,-1.0,-1.0,1.0,0.31746,0.8134899999999999,0.7619,-1.0,-1.0,-1.0,1.0,0.47364,1.0,1.0,1.0,0.68839,-1.0,-1.0,-1.0,0.82937,0.36508,1.0,1.0,1.0,0.50794,-1.0,-0.3254,-1.0,0.72831
0,0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-0.1875,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
1,0,0.10135,0.10811,0.0,0.0,0.0,0.0,0.5473,0.82432,0.31081,1.0,0.0,0.0,0.0,0.0,0.37162,-1.0,0.33108,-1.0,0.0,0.0,0.0,0.0,-0.42568,-1.0,1.0,-1.0,0.55405,-0.23649,0.0,0.0,0.0,0.0
1,0,1.0,0.0738,1.0,0.0342,1.0,-0.05563,1.0,0.08764,1.0,0.19651,1.0,0.20328,1.0,0.12785,1.0,0.10561,1.0,0.27087,1.0,0.44758,1.0,0.4175,1.0,0.20033,1.0,0.36743,0.95603,0.48641,1.0,0.32492,1.0,0.46712
0,0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-0.71875,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.5625,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1,0,0.75564,0.49638,0.8355,0.54301,0.54916,0.72063,0.35225,0.70792,0.13469,0.94749,-0.09818,0.93778,-0.37604,0.8222299999999999,-0.52742,0.7116100000000001,-0.68358,0.67989,-0.70163,0.24956,-0.79147,0.02995,-0.98988,-0.29099,-0.70352,-0.32792,-0.63312,-0.19185,-0.34131,-0.60454,-0.19609,-0.62956
1,0,0.25,0.16667,0.46667,0.26667,0.19036,0.23966,0.07766,0.19939,0.0107,0.14922,-0.02367,0.10188,-0.03685,0.06317,-0.03766,0.03458,-0.0323,0.01532,-0.02474,0.00357,-0.01726,-0.00273,-0.01097,-0.00539,-0.00621,-0.00586,-0.00294,-0.0052,-0.00089,-0.0040799999999999,0.00025,-0.00291
1,0,0.95202,0.02254,0.93757,-0.01272,0.93526,0.01214,0.96705,-0.01734,0.96936,0.0052,0.95665,-0.03064,0.9526,-0.00405,0.9948,-0.02659,0.99769,0.01792,0.93584,-0.04971,0.93815,-0.0237,0.97052,-0.04451,0.96215,-0.01647,0.97399,0.01908,0.95434,-0.0341,0.95838,0.00809
1,0,1.0,-0.16316,1.0,-0.10169,0.99999,-0.15197,1.0,-0.19277,0.94055,-0.35151,0.95735,-0.29785,0.93719,-0.34412,0.94486,-0.28106,0.90137,-0.43383,0.8604299999999999,-0.47308,0.8298700000000001,-0.5122,0.8408,-0.47137,0.7622399999999999,-0.5837,0.65723,-0.68794,0.68714,-0.64537,0.64727,-0.6722600000000001
1,0,0.84134,-0.18362,0.43644,0.02919,0.93421,-0.00267,0.8794700000000001,0.13795,0.81121,-0.01789,0.88559,0.54991,0.91714,-0.57486,0.75,-0.2952,0.8667600000000001,-0.20104,1.0,1.0,0.4661,-0.1629,0.90066,-0.02778,0.93358,-0.01158,0.61582,-0.32298,0.8446299999999999,-0.25706,0.93323,-0.01425
1,0,0.0,0.0,1.0,0.12889,0.88444,-0.02,0.0,0.0,1.0,-0.42444,1.0,0.19556,1.0,-0.05333,1.0,-0.8155600000000001,0.0,0.0,1.0,-0.04,1.0,-0.18667,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.11778,0.90667,-0.09556
1,0,0.39286,0.52381,-0.7882399999999999,0.11342,-0.1662799999999999,-0.76378,0.66667,0.0119,0.8214299999999999,0.40476,-0.6723,0.30729,-0.34797,-0.63668,0.46429,0.1547599999999999,0.54762,0.05952,-0.5183,0.44961,-0.47651,-0.47594,0.32143,0.70238,0.51971,0.38848,0.57143,0.39286,-0.54891,-0.29915,0.25441,-0.55837
1,0,1.0,-0.01081,1.0,-0.02703,1.0,-0.06486,0.95135,-0.01622,0.98919,-0.03243,0.98919,0.08649,1.0,-0.06486,0.95135,0.09189,0.97838,-0.00541,1.0,0.06486,1.0,0.04324,0.97838,0.09189,0.98556,0.01251,1.0,-0.03243,1.0,0.02703,1.0,-0.07027
1,0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.4375,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0
1,0,1.0,0.09771,1.0,0.12197,1.0,0.22574,0.98602,0.09237,0.9493,0.19211,0.92992,0.24288,0.89241,0.28343,0.85529,0.26721,0.8365600000000001,0.33129,0.83393,0.31698,0.74829,0.39597,0.76193,0.34658,0.68452,0.4274600000000001,0.62764,0.4603100000000001,0.56791,0.47033,0.54252,0.50903
1,0,0.97032,-0.14384,0.91324,-0.00228,0.96575,-0.17123,0.9863,0.18265,0.91781,0.00228,0.93607,-0.08447,0.91324,-0.00228,0.8675799999999999,-0.08676,0.97032,-0.21233,1.0,0.10274,0.92009,-0.05251,0.92466,0.06849,0.94043,-0.09252,0.97032,-0.20091,0.85388,-0.08676,0.96575,-0.21918
1,0,0.47938,-0.12371,0.42784,-0.12371,0.70103,-0.39175,0.73196,0.07216,0.26289,-0.21649,0.49485,0.15979,0.45361,-0.1185599999999999,0.42268,0.06186,0.5,-0.2732,0.5463899999999999,0.18557,0.42268,0.08247,0.70619,0.19588,0.53396,-0.12447,0.15464,-0.26289,0.47423,0.04124,0.45361,-0.51546
