machine_cycle_time,min_main_memory,max_main_memory,cache,ch_min,ch_max
59,4000,12000,32,6,12
250,1000,16000,1,1,8
143,3100,6200,0,5,20
330,1000,2000,0,1,2
250,512,4000,0,1,7
140,1000,16000,16,1,3
30,8000,64000,96,12,176
320,256,5000,4,1,6
140,2000,8000,32,1,54
25,2000,12000,8,1,4
35,8000,32000,64,8,24
50,2000,16000,12,3,16
115,2000,4000,2,1,5
50,1000,4000,8,1,5
225,2000,4000,8,3,6
38,4000,8000,32,16,32
180,2000,16000,16,1,6
92,2000,8000,4,1,6
75,4000,16000,16,1,6
320,128,6000,0,1,12
72,2000,8000,16,6,8
124,1000,8000,0,1,8
50,2000,16000,8,3,5
600,768,2000,0,1,1
180,768,12000,6,1,31
29,8000,32000,32,8,32
300,768,12000,6,6,24
92,2000,8000,32,1,6
185,2000,16000,16,1,6
220,1000,8000,16,1,2
350,64,64,0,1,4
480,96,512,0,1,1
180,512,4000,0,1,3
84,1000,2000,0,1,6
800,768,2000,0,0,0
116,2000,8000,32,5,28
200,1000,4000,0,1,4
180,262,4000,0,1,3
75,2000,16000,64,1,38
92,2000,8000,32,1,6
26,8000,32000,128,24,32
300,1000,4000,8,3,64
60,4000,16000,64,5,8
72,4000,16000,64,8,16
140,2000,4000,8,1,20
75,2000,8000,64,1,38
125,512,1000,0,8,20
900,1000,1000,0,1,2
143,1000,2000,0,5,16
38,8000,24000,160,4,8
25,1310,2620,131,12,24
30,16000,32000,256,16,24
320,256,6000,0,1,6
143,1500,6300,0,5,32
26,8000,32000,0,8,24
105,256,2000,0,3,10
26,16000,32000,64,16,24
29,8000,16000,32,8,16
125,2000,8000,0,2,14
52,4000,16000,32,4,12
23,16000,64000,64,16,32
140,2000,4000,0,4,8
57,4000,24000,64,12,16
400,4000,8000,0,1,1
112,1000,1000,0,1,4
167,524,2000,8,4,15
38,8000,16000,64,4,8
105,2000,4000,8,3,8
110,5000,5000,142,8,64
125,256,6000,256,16,128
225,2000,4000,8,3,6
105,2000,6000,16,6,16
800,256,8000,0,1,4
200,512,16000,0,4,32
50,2000,16000,24,1,6
810,1000,5000,0,1,1
300,768,3000,0,6,24
110,1000,4000,16,1,2
180,512,4000,0,1,3
300,1000,16000,8,2,112
29,8000,32000,32,8,32
40,8000,16000,32,8,16
250,512,4000,0,4,7
50,2000,32000,48,26,52
110,1000,12000,16,1,2
50,2000,16000,24,6,16
26,8000,32000,64,8,32
105,2000,8000,16,4,14
143,2300,6200,0,6,64
700,384,8000,0,1,1
105,2000,4000,8,3,19
200,1000,2000,0,1,2
56,4000,16000,0,1,8
810,512,512,8,1,1
50,1000,4000,8,3,5
60,4000,16000,32,1,6
50,2000,16000,8,3,6
240,512,1000,8,1,3
56,4000,8000,0,1,8
70,4000,12000,8,6,8
133,1000,12000,9,3,12
50,1000,8000,8,3,5
50,2000,4000,0,3,6
1100,768,2000,0,1,1
26,8000,16000,0,8,16
60,2000,16000,64,5,8
180,262,4000,0,1,3
140,2000,32000,32,1,54
26,16000,32000,64,8,24
50,2620,10480,30,12,24
115,512,6000,16,1,6
50,4000,32000,112,52,104
30,8000,64000,128,12,176
700,256,2000,0,1,1
300,768,3000,6,6,24
160,1000,8000,16,1,14
900,1000,4000,8,1,2
140,2000,32000,32,1,20
900,1000,4000,4,1,2
320,512,8000,4,1,5
320,256,3000,4,1,3
60,2000,8000,65,1,8
50,8000,16000,48,1,10
140,2000,4000,0,3,6
50,4000,16000,64,5,10
800,256,8000,0,1,4
29,8000,32000,32,8,32
23,16000,32000,64,16,32
400,512,3500,4,1,6
50,4000,16000,65,1,8
143,512,5000,0,7,32
110,3100,6200,0,6,64
320,512,5000,4,1,5
25,1310,2620,131,12,24
56,5240,20970,30,12,24
64,5240,20970,30,12,24
50,2000,8000,8,1,5
50,2000,16000,8,3,6
200,1000,8000,0,1,2
800,256,8000,0,1,4
75,2000,16000,128,1,38
105,1000,4000,0,3,24
300,192,768,6,6,24
330,1000,4000,0,3,6
140,2000,32000,32,1,54
203,1000,2000,0,1,5
1100,512,1500,0,1,1
400,2000,4000,0,1,1
180,2000,8000,8,1,6
25,2000,12000,16,3,5
17,4000,16000,8,6,12
17,4000,16000,32,6,12
50,2000,16000,24,1,6
100,1000,8000,0,2,6
100,1000,8000,24,2,6
100,1000,8000,24,3,6
40,8000,32000,64,8,24
38,8000,32000,64,8,24
56,1000,4000,0,1,6
56,2000,6000,0,1,8
56,2000,8000,0,1,8
56,4000,12000,0,1,8
38,4000,16000,128,16,32
160,512,2000,2,3,8
160,1000,4000,8,1,14
160,2000,8000,32,1,13
480,512,8000,32,0,0
480,1000,4000,0,0,0
