machine_cycle_time,min_main_memory,max_main_memory,cache,ch_min,ch_max
105,2000,8000,16,4,14
250,512,4000,0,1,7
110,3100,6200,0,6,64
300,1000,16000,8,2,112
200,1000,4000,0,1,4
700,384,8000,0,1,1
30,8000,64000,128,12,176
320,256,5000,4,1,6
140,2000,8000,32,1,54
225,1000,4000,2,3,6
35,8000,32000,64,8,24
50,8000,16000,48,1,10
150,512,4000,0,8,128
64,5240,20970,30,12,24
900,2000,4000,0,3,6
56,4000,12000,0,1,8
180,2000,8000,8,1,6
92,2000,8000,32,1,6
92,2000,8000,4,1,6
320,512,2000,4,1,3
40,8000,16000,32,8,16
125,2000,8000,0,2,14
50,1000,4000,8,3,5
600,768,2000,0,1,1
300,384,12000,6,1,24
29,8000,32000,32,8,32
300,768,3000,0,6,24
92,2000,8000,32,1,6
225,2000,4000,8,3,6
110,1000,4000,16,1,2
50,4000,16000,65,1,8
115,512,6000,16,1,6
180,262,4000,0,1,3
56,2000,6000,0,1,8
17,4000,16000,32,6,12
50,2000,32000,24,6,26
38,8000,24000,160,4,8
180,512,4000,0,1,3
125,512,1000,0,8,20
115,2000,4000,2,1,5
116,2000,8000,32,5,28
180,768,12000,6,1,31
60,4000,16000,64,5,8
72,4000,16000,64,8,16
140,2000,4000,8,1,20
800,256,8000,0,1,4
800,256,8000,0,1,4
400,4000,8000,0,1,1
110,5000,5000,142,8,64
38,4000,8000,32,16,32
25,1310,2620,131,12,24
112,1000,1000,0,1,4
320,256,3000,4,1,3
143,3100,6200,0,5,20
480,96,512,0,1,1
75,2000,16000,64,1,38
26,8000,32000,0,8,24
29,8000,32000,32,8,32
480,1000,4000,0,0,0
240,512,2000,8,1,5
23,16000,64000,64,16,32
140,2000,4000,0,3,6
26,16000,32000,64,16,24
400,2000,4000,0,1,1
56,1000,4000,0,1,6
143,512,5000,0,7,32
38,4000,8000,32,16,32
160,1000,8000,16,1,14
143,1500,6300,0,5,32
125,256,6000,256,16,128
225,2000,4000,8,3,6
160,2000,8000,32,1,13
800,256,8000,0,1,4
350,64,64,0,1,4
50,2000,16000,24,1,6
133,1000,12000,9,3,12
75,2000,8000,8,3,24
700,256,2000,0,1,1
124,1000,8000,0,1,8
300,1000,4000,8,3,64
29,8000,32000,32,8,32
40,8000,32000,64,8,24
200,2000,8000,64,1,5
50,2000,32000,112,52,104
200,1000,8000,0,1,2
100,1000,8000,0,2,6
29,8000,16000,32,8,16
240,512,1000,8,1,3
320,128,6000,0,1,12
320,512,8000,4,1,5
75,2000,16000,128,1,38
38,8000,16000,64,4,8
56,4000,8000,0,1,8
50,2000,16000,8,3,6
50,500,2000,8,1,4
75,4000,16000,16,1,6
50,1000,8000,8,3,5
160,512,2000,2,3,8
56,2000,8000,0,1,8
105,2000,4000,8,3,8
50,2000,16000,8,3,5
50,2000,8000,8,1,5
1500,768,2000,0,0,0
1100,768,2000,0,1,1
203,1000,2000,0,1,5
60,4000,16000,32,1,6
180,512,4000,0,1,3
140,2000,32000,32,1,54
26,8000,16000,0,8,16
50,2620,10480,30,12,24
1100,512,1500,0,1,1
30,8000,64000,96,12,176
180,262,4000,0,1,3
200,512,8000,8,1,8
175,256,2000,0,3,24
250,1000,16000,1,1,8
900,1000,4000,4,1,2
140,2000,32000,32,1,20
900,512,1000,0,1,2
810,512,512,8,1,1
320,512,5000,4,1,5
400,512,3500,4,1,6
50,2000,16000,24,1,6
330,1000,4000,0,3,6
50,4000,16000,64,5,10
800,256,8000,0,1,4
26,8000,32000,64,8,32
23,16000,32000,64,16,32
60,2000,8000,65,1,8
200,512,16000,0,4,32
167,524,2000,8,4,15
143,1000,2000,0,5,16
143,2300,6200,0,6,64
50,2620,10480,30,12,24
50,1000,4000,8,1,5
133,1000,8000,9,3,12
140,1000,16000,16,1,3
110,1000,12000,16,1,2
90,256,1000,0,3,10
75,3000,8000,8,3,48
300,768,12000,6,6,24
330,1000,3000,0,2,4
330,1000,2000,0,1,2
140,2000,4000,0,4,8
140,2000,32000,32,1,54
140,2000,4000,8,1,20
26,16000,32000,64,8,24
180,2000,16000,16,1,6
25,2000,12000,8,1,4
1500,768,1000,0,0,0
800,768,2000,0,0,0
50,2000,4000,0,3,6
50,2000,16000,12,3,16
50,2000,16000,24,6,16
115,2000,8000,16,1,3
60,2000,16000,64,5,8
72,2000,8000,16,6,8
48,4000,24000,32,8,24
30,16000,32000,256,16,24
84,1000,2000,0,1,6
200,1000,2000,0,1,2
160,512,4000,2,1,5
105,2000,6000,16,6,16
52,4000,16000,32,4,12
70,4000,12000,8,6,8
59,8000,16000,64,12,24
26,8000,24000,32,8,16
98,1000,8000,32,2,8
