Column1,Column2,Column3,Column4,Column5
500,4.8,0.0254,39.6,0.000907475
250,5.3,0.2286,39.6,0.00614329
630,5.4,0.1524,39.6,0.00485029
6300,4.8,0.0254,39.6,0.000907475
6300,9.9,0.1524,55.5,0.0208438
4000,0.0,0.0254,55.5,0.00041229
3150,17.4,0.0254,71.3,0.016104
2500,15.4,0.0508,39.6,0.0282593
2500,3.0,0.3048,31.7,0.00529514
200,15.4,0.0508,39.6,0.0282593
1250,3.3,0.1016,55.5,0.002211
400,2.0,0.2286,71.3,0.00293031
3150,0.0,0.3048,39.6,0.00310138
4000,0.0,0.0508,71.3,0.000740478
250,17.4,0.0254,31.7,0.0176631
6300,15.4,0.0508,31.7,0.0289853
1600,3.0,0.3048,39.6,0.00495741
2500,4.8,0.0254,55.5,0.000873218
1000,15.4,0.0508,31.7,0.0289853
2000,5.3,0.2286,71.3,0.0051942
6300,4.0,0.3048,71.3,0.00497773
6300,0.0,0.0508,71.3,0.000740478
1250,8.9,0.1016,71.3,0.0103088
1600,8.4,0.0508,71.3,0.00529514
1600,6.7,0.1016,55.5,0.0052139
5000,7.2,0.1524,71.3,0.00752039
1000,3.3,0.1016,71.3,0.00202822
2000,0.0,0.1016,71.3,0.00121072
500,22.2,0.0254,71.3,0.0214178
5000,9.5,0.0254,39.6,0.00449821
6300,0.0,0.3048,31.7,0.00331266
1250,7.3,0.2286,39.6,0.0123481
2500,0.0,0.0508,31.7,0.000812164
4000,4.2,0.0508,39.6,0.00152689
6300,4.2,0.0508,71.3,0.00142788
8000,12.7,0.0254,39.6,0.0130253
3150,12.3,0.1016,39.6,0.0408268
3150,2.0,0.2286,39.6,0.00346574
6300,17.4,0.0254,71.3,0.016104
400,22.2,0.0254,39.6,0.0229028
3150,0.0,0.1016,71.3,0.00121072
200,15.4,0.0508,55.5,0.0271925
6300,17.4,0.0254,55.5,0.0165706
4000,0.0,0.1524,31.7,0.00209405
800,7.3,0.2286,31.7,0.0132672
400,12.3,0.1016,55.5,0.0368233
400,0.0,0.3048,39.6,0.00310138
10000,2.7,0.1524,39.6,0.00294804
1250,0.0,0.2286,31.7,0.0027238
2000,5.4,0.1524,55.5,0.00433288
5000,0.0,0.0254,31.7,0.000439472
1250,4.2,0.0508,39.6,0.00152689
315,22.2,0.0254,39.6,0.0229028
3150,15.4,0.0508,55.5,0.0271925
4000,9.9,0.1524,55.5,0.0208438
500,8.4,0.0508,31.7,0.00580776
2000,0.0,0.2286,39.6,0.00253511
3150,4.8,0.0254,39.6,0.000907475
4000,0.0,0.2286,71.3,0.00214345
2500,0.0,0.1016,31.7,0.00150092
2500,1.5,0.3048,39.6,0.00392107
1000,12.3,0.1016,71.3,0.0337792
3150,12.6,0.1524,39.6,0.0584113
12500,0.0,0.3048,71.3,0.00266337
2500,17.4,0.0254,55.5,0.0165706
2000,4.0,0.2286,31.7,0.00509068
1600,5.4,0.1524,39.6,0.00485029
3150,17.4,0.0254,39.6,0.0172206
8000,4.2,0.0508,71.3,0.00142788
1000,0.0,0.3048,39.6,0.00310138
630,1.5,0.3048,39.6,0.00392107
200,7.3,0.2286,31.7,0.0132672
2500,0.0,0.2286,71.3,0.00214345
8000,5.3,0.2286,71.3,0.0051942
4000,7.2,0.1524,39.6,0.00909175
2000,9.5,0.0254,31.7,0.00461377
500,2.7,0.1524,39.6,0.00294804
2000,17.4,0.0254,71.3,0.016104
5000,15.4,0.0508,39.6,0.0282593
2500,7.3,0.2286,55.5,0.0111706
10000,0.0,0.0254,71.3,0.000400682
6300,3.3,0.1016,31.7,0.00251435
5000,7.2,0.1524,39.6,0.00909175
1600,12.3,0.1016,31.7,0.0418756
1000,0.0,0.3048,71.3,0.00266337
315,7.2,0.1524,39.6,0.00909175
1000,9.5,0.0254,55.5,0.0043284
2500,15.4,0.0508,55.5,0.0271925
250,9.9,0.1524,39.6,0.0233328
1600,9.9,0.1524,55.5,0.0208438
400,5.4,0.1524,71.3,0.00401199
1600,5.3,0.2286,71.3,0.0051942
400,8.4,0.0508,55.5,0.00544854
400,5.4,0.1524,31.7,0.00525474
1250,0.0,0.1524,39.6,0.00193287
1600,2.7,0.1524,71.3,0.00243851
500,2.0,0.2286,39.6,0.00346574
5000,1.5,0.3048,71.3,0.00336729
6300,2.0,0.2286,71.3,0.00293031
4000,15.6,0.1016,39.6,0.0528487
630,2.7,0.1524,71.3,0.00243851
1600,0.0,0.3048,55.5,0.00283081
6300,2.0,0.2286,31.7,0.00372371
2000,3.3,0.1016,71.3,0.00202822
2500,5.4,0.1524,39.6,0.00485029
2000,4.0,0.2286,55.5,0.0042862
4000,22.2,0.0254,71.3,0.0214178
5000,8.9,0.1016,39.6,0.0124596
6300,0.0,0.1016,71.3,0.00121072
4000,3.0,0.3048,71.3,0.00425727
315,0.0,0.2286,31.7,0.0027238
315,9.9,0.1524,31.7,0.0252785
3150,5.4,0.1524,31.7,0.00525474
3150,12.6,0.1524,71.3,0.0483159
400,15.6,0.1016,71.3,0.0437259
2500,0.0,0.2286,39.6,0.00253511
800,8.9,0.1016,39.6,0.0124596
2000,0.0,0.1524,39.6,0.00193287
800,7.3,0.2286,39.6,0.0123481
12500,1.5,0.3048,71.3,0.00336729
400,12.3,0.1016,31.7,0.0418756
250,15.4,0.0508,39.6,0.0282593
500,15.4,0.0508,31.7,0.0289853
3150,4.0,0.2286,55.5,0.0042862
630,8.4,0.0508,31.7,0.00580776
630,4.8,0.0254,39.6,0.000907475
12500,2.7,0.1524,71.3,0.00243851
16000,0.0,0.0254,31.7,0.000439472
20000,4.8,0.0254,55.5,0.000873218
250,17.4,0.0254,55.5,0.0165706
2000,3.0,0.3048,71.3,0.00425727
1250,12.3,0.1016,71.3,0.0337792
400,8.4,0.0508,31.7,0.00580776
1250,4.0,0.2286,71.3,0.00400603
3150,9.9,0.1524,55.5,0.0208438
1250,8.9,0.1016,39.6,0.0124596
5000,12.3,0.1016,71.3,0.0337792
315,7.2,0.1524,71.3,0.00752039
4000,4.0,0.2286,31.7,0.00509068
8000,3.3,0.1016,71.3,0.00202822
6300,2.7,0.1524,39.6,0.00294804
2500,1.5,0.3048,71.3,0.00336729
1600,7.2,0.1524,71.3,0.00752039
3150,11.2,0.0508,71.3,0.014072
1000,17.4,0.0254,55.5,0.0165706
2000,8.9,0.1016,39.6,0.0124596
5000,4.8,0.0254,39.6,0.000907475
3150,8.4,0.0508,55.5,0.00544854
800,7.3,0.2286,71.3,0.0104404
4000,15.4,0.0508,31.7,0.0289853
800,4.0,0.2286,71.3,0.00400603
1600,12.6,0.1524,39.6,0.0584113
12500,0.0,0.1016,55.5,0.00131983
10000,0.0,0.1524,55.5,0.00172668
2000,4.2,0.0508,71.3,0.00142788
400,3.0,0.3048,39.6,0.00495741
2500,0.0,0.0508,71.3,0.000740478
1000,19.7,0.0508,39.6,0.036484
1600,3.0,0.3048,31.7,0.00529514
16000,4.8,0.0254,71.3,0.000848633
6300,12.7,0.0254,71.3,0.0121808
315,11.2,0.0508,39.6,0.0150478
5000,4.8,0.0254,55.5,0.000873218
200,12.3,0.1016,31.7,0.0418756
250,15.4,0.0508,71.3,0.0264269
2500,4.0,0.2286,55.5,0.0042862
2000,6.7,0.1016,55.5,0.0052139
1250,12.3,0.1016,55.5,0.0368233
5000,7.3,0.2286,71.3,0.0104404
3150,3.0,0.3048,55.5,0.00452492
1000,8.9,0.1016,39.6,0.0124596
2500,12.3,0.1016,31.7,0.0418756
4000,0.0,0.1016,31.7,0.00150092
800,0.0,0.2286,31.7,0.0027238
1250,15.4,0.0508,55.5,0.0271925
1000,0.0,0.2286,39.6,0.00253511
6300,12.3,0.1016,39.6,0.0408268
2000,5.3,0.2286,39.6,0.00614329
630,11.2,0.0508,39.6,0.0150478
6300,0.0,0.0508,55.5,0.00076193
5000,0.0,0.0254,55.5,0.00041229
2000,6.7,0.1016,31.7,0.00592927
4000,0.0,0.2286,55.5,0.00229336
1000,0.0,0.0508,31.7,0.000812164
1250,3.0,0.3048,71.3,0.00425727
1600,4.0,0.2286,55.5,0.0042862
500,3.0,0.3048,71.3,0.00425727
1000,12.3,0.1016,55.5,0.0368233
1250,19.7,0.0508,71.3,0.0341183
2000,15.6,0.1016,39.6,0.0528487
1600,19.7,0.0508,39.6,0.036484
1600,11.2,0.0508,71.3,0.014072
8000,22.2,0.0254,71.3,0.0214178
500,11.2,0.0508,71.3,0.014072
8000,0.0,0.0254,55.5,0.00041229
400,9.9,0.1524,55.5,0.0208438
1250,0.0,0.0508,71.3,0.000740478
400,11.2,0.0508,39.6,0.0150478
500,3.0,0.3048,31.7,0.00529514
315,15.4,0.0508,55.5,0.0271925
1600,4.0,0.2286,31.7,0.00509068
1600,2.7,0.1524,39.6,0.00294804
1000,7.2,0.1524,39.6,0.00909175
1600,7.3,0.2286,31.7,0.0132672
1250,0.0,0.3048,71.3,0.00266337
6300,0.0,0.0254,71.3,0.000400682
1250,15.4,0.0508,71.3,0.0264269
800,0.0,0.2286,39.6,0.00253511
2000,12.3,0.1016,31.7,0.0418756
12500,0.0,0.0254,55.5,0.00041229
4000,12.7,0.0254,39.6,0.0130253
1000,15.4,0.0508,71.3,0.0264269
2000,0.0,0.0254,31.7,0.000439472
800,6.7,0.1016,39.6,0.00578076
8000,2.7,0.1524,39.6,0.00294804
1000,2.0,0.2286,31.7,0.00372371
2500,3.0,0.3048,39.6,0.00495741
400,17.4,0.0254,71.3,0.016104
5000,0.0,0.1016,71.3,0.00121072
3150,7.3,0.2286,31.7,0.0132672
250,7.2,0.1524,39.6,0.00909175
400,19.7,0.0508,71.3,0.0341183
1250,9.9,0.1524,31.7,0.0252785
1000,6.7,0.1016,71.3,0.00478288
2000,8.9,0.1016,71.3,0.0103088
2000,0.0,0.2286,31.7,0.0027238
8000,0.0,0.1016,71.3,0.00121072
800,1.5,0.3048,39.6,0.00392107
315,7.3,0.2286,31.7,0.0132672
1600,12.7,0.0254,71.3,0.0121808
5000,4.0,0.2286,55.5,0.0042862
2000,0.0,0.1016,31.7,0.00150092
315,0.0,0.2286,55.5,0.00229336
2500,15.4,0.0508,71.3,0.0264269
1250,4.8,0.0254,39.6,0.000907475
2500,12.3,0.1016,39.6,0.0408268
500,17.4,0.0254,39.6,0.0172206
6300,3.3,0.1016,39.6,0.00245138
800,3.3,0.1016,31.7,0.00251435
315,12.6,0.1524,71.3,0.0483159
1000,7.3,0.2286,31.7,0.0132672
3150,0.0,0.2286,39.6,0.00253511
