Column1,Column2,Column3,Column4,Column5
6300,4.8,0.0254,31.7,0.000930789
400,7.3,0.2286,71.3,0.0104404
5000,5.4,0.1524,31.7,0.00525474
5000,9.5,0.0254,71.3,0.00420654
630,9.9,0.1524,31.7,0.0252785
8000,0.0,0.0254,31.7,0.000439472
315,17.4,0.0254,39.6,0.0172206
2000,15.4,0.0508,31.7,0.0289853
250,4.0,0.3048,71.3,0.00497773
6300,15.4,0.0508,39.6,0.0282593
1600,3.3,0.1016,39.6,0.00245138
500,2.0,0.2286,55.5,0.00313525
200,0.0,0.3048,31.7,0.00331266
1000,0.0,0.0508,39.6,0.000791822
4000,22.2,0.0254,71.3,0.0214178
315,19.7,0.0508,39.6,0.036484
2500,3.0,0.3048,39.6,0.00495741
630,4.8,0.0254,31.7,0.000930789
1250,19.7,0.0508,71.3,0.0341183
2500,5.3,0.2286,39.6,0.00614329
400,4.0,0.3048,39.6,0.00579636
1600,0.0,0.0508,39.6,0.000791822
315,8.9,0.1016,39.6,0.0124596
400,8.4,0.0508,39.6,0.00566229
400,6.7,0.1016,31.7,0.00592927
250,9.9,0.1524,71.3,0.0193001
2500,3.3,0.1016,55.5,0.002211
800,0.0,0.1016,39.6,0.00146332
2000,22.2,0.0254,39.6,0.0229028
5000,12.7,0.0254,71.3,0.0121808
1250,1.5,0.3048,71.3,0.00336729
630,7.3,0.2286,31.7,0.0132672
6300,4.2,0.0508,71.3,0.00142788
800,8.4,0.0508,55.5,0.00544854
10000,4.2,0.0508,39.6,0.00152689
1000,17.4,0.0254,55.5,0.0165706
6300,12.3,0.1016,39.6,0.0408268
1000,2.0,0.2286,31.7,0.00372371
1250,17.4,0.0254,39.6,0.0172206
8000,0.0,0.1016,71.3,0.00121072
1250,0.0,0.1016,39.6,0.00146332
250,15.4,0.0508,39.6,0.0282593
1250,17.4,0.0254,31.7,0.0176631
16000,2.7,0.1524,71.3,0.00243851
1250,0.0,0.1524,71.3,0.0015988
5000,12.3,0.1016,55.5,0.0368233
2000,0.0,0.3048,39.6,0.00310138
1250,5.4,0.1524,55.5,0.00433288
2500,2.0,0.2286,71.3,0.00293031
630,5.4,0.1524,31.7,0.00525474
12500,4.8,0.0254,55.5,0.000873218
3150,8.4,0.0508,71.3,0.00529514
6300,0.0,0.1016,71.3,0.00121072
2500,15.4,0.0508,39.6,0.0282593
400,9.9,0.1524,31.7,0.0252785
800,11.2,0.0508,71.3,0.014072
3150,0.0,0.2286,31.7,0.0027238
2000,9.5,0.0254,71.3,0.00420654
500,0.0,0.2286,55.5,0.00229336
8000,3.3,0.1016,71.3,0.00202822
6300,1.5,0.3048,39.6,0.00392107
250,12.3,0.1016,55.5,0.0368233
3150,0.0,0.0508,55.5,0.00076193
800,0.0,0.3048,55.5,0.00283081
630,17.4,0.0254,31.7,0.0176631
250,5.3,0.2286,39.6,0.00614329
500,7.2,0.1524,71.3,0.00752039
2000,22.2,0.0254,71.3,0.0214178
1250,8.4,0.0508,71.3,0.00529514
5000,0.0,0.3048,39.6,0.00310138
1250,1.5,0.3048,39.6,0.00392107
3150,7.3,0.2286,31.7,0.0132672
20000,0.0,0.2286,71.3,0.00214345
250,7.3,0.2286,71.3,0.0104404
5000,9.9,0.1524,71.3,0.0193001
1600,12.7,0.0254,39.6,0.0130253
1600,5.4,0.1524,71.3,0.00401199
250,17.4,0.0254,39.6,0.0172206
4000,15.4,0.0508,31.7,0.0289853
1000,7.3,0.2286,39.6,0.0123481
8000,0.0,0.0254,39.6,0.000428464
800,6.7,0.1016,55.5,0.0052139
6300,9.9,0.1524,71.3,0.0193001
6300,12.3,0.1016,31.7,0.0418756
1600,0.0,0.3048,71.3,0.00266337
500,9.9,0.1524,71.3,0.0193001
2500,9.5,0.0254,39.6,0.00449821
2000,15.4,0.0508,39.6,0.0282593
1000,9.9,0.1524,31.7,0.0252785
5000,9.9,0.1524,39.6,0.0233328
2000,5.4,0.1524,55.5,0.00433288
2000,5.3,0.2286,39.6,0.00614329
1600,8.4,0.0508,39.6,0.00566229
2000,7.2,0.1524,71.3,0.00752039
2000,0.0,0.1524,31.7,0.00209405
4000,2.7,0.1524,39.6,0.00294804
5000,2.0,0.2286,39.6,0.00346574
10000,1.5,0.3048,71.3,0.00336729
3150,2.0,0.2286,55.5,0.00313525
3150,15.6,0.1016,39.6,0.0528487
2500,2.7,0.1524,39.6,0.00294804
5000,0.0,0.3048,55.5,0.00283081
16000,4.0,0.2286,71.3,0.00400603
4000,3.3,0.1016,55.5,0.002211
800,7.2,0.1524,71.3,0.00752039
6300,4.0,0.2286,39.6,0.00473801
1600,0.0,0.1016,71.3,0.00121072
2000,12.3,0.1016,71.3,0.0337792
2500,0.0,0.1016,39.6,0.00146332
10000,3.0,0.3048,71.3,0.00425727
630,2.0,0.2286,71.3,0.00293031
2000,12.6,0.1524,71.3,0.0483159
250,7.2,0.1524,39.6,0.00909175
2000,0.0,0.0508,71.3,0.000740478
800,15.6,0.1016,71.3,0.0437259
4000,0.0,0.2286,31.7,0.0027238
250,12.3,0.1016,71.3,0.0337792
4000,0.0,0.1524,31.7,0.00209405
250,7.3,0.2286,31.7,0.0132672
16000,1.5,0.3048,71.3,0.00336729
800,12.3,0.1016,31.7,0.0418756
250,15.4,0.0508,31.7,0.0289853
800,19.7,0.0508,71.3,0.0341183
250,4.0,0.2286,31.7,0.00509068
1000,11.2,0.0508,71.3,0.014072
8000,4.8,0.0254,31.7,0.000930789
1000,5.4,0.1524,71.3,0.00401199
800,4.8,0.0254,39.6,0.000907475
5000,4.8,0.0254,31.7,0.000930789
2500,17.4,0.0254,39.6,0.0172206
3150,3.0,0.3048,71.3,0.00425727
315,12.3,0.1016,55.5,0.0368233
500,11.2,0.0508,71.3,0.014072
1250,4.0,0.2286,55.5,0.0042862
200,9.9,0.1524,31.7,0.0252785
400,12.3,0.1016,71.3,0.0337792
2500,12.3,0.1016,55.5,0.0368233
1600,7.2,0.1524,39.6,0.00909175
630,5.3,0.2286,39.6,0.00614329
630,3.3,0.1016,39.6,0.00245138
630,5.4,0.1524,55.5,0.00433288
5000,1.5,0.3048,71.3,0.00336729
4000,7.2,0.1524,39.6,0.00909175
200,15.4,0.0508,71.3,0.0264269
250,17.4,0.0254,31.7,0.0176631
630,12.3,0.1016,71.3,0.0337792
4000,9.5,0.0254,71.3,0.00420654
1000,8.4,0.0508,31.7,0.00580776
630,7.3,0.2286,55.5,0.0111706
4000,19.7,0.0508,71.3,0.0341183
630,4.0,0.2286,55.5,0.0042862
1250,0.0,0.0508,55.5,0.00076193
3150,0.0,0.1016,31.7,0.00150092
500,0.0,0.1524,31.7,0.00209405
3150,4.2,0.0508,39.6,0.00152689
800,3.0,0.3048,39.6,0.00495741
10000,0.0,0.0508,55.5,0.00076193
2500,0.0,0.0254,55.5,0.00041229
5000,3.0,0.3048,31.7,0.00529514
8000,4.8,0.0254,39.6,0.000907475
2000,17.4,0.0254,71.3,0.016104
500,15.4,0.0508,71.3,0.0264269
1600,4.8,0.0254,31.7,0.000930789
315,12.3,0.1016,31.7,0.0418756
8000,15.4,0.0508,71.3,0.0264269
8000,4.0,0.2286,39.6,0.00473801
500,6.7,0.1016,31.7,0.00592927
315,12.3,0.1016,39.6,0.0408268
3150,7.3,0.2286,55.5,0.0111706
8000,3.0,0.3048,55.5,0.00452492
315,12.3,0.1016,71.3,0.0337792
250,15.6,0.1016,71.3,0.0437259
630,3.3,0.1016,55.5,0.002211
1600,2.0,0.2286,71.3,0.00293031
1250,15.4,0.0508,39.6,0.0282593
1600,0.0,0.2286,31.7,0.0027238
250,12.3,0.1016,31.7,0.0418756
3150,7.3,0.2286,71.3,0.0104404
1000,15.4,0.0508,71.3,0.0264269
1000,0.0,0.0508,31.7,0.000812164
10000,0.0,0.0254,31.7,0.000439472
1000,8.9,0.1016,71.3,0.0103088
3150,0.0,0.2286,39.6,0.00253511
3150,4.2,0.0508,71.3,0.00142788
2500,3.0,0.3048,71.3,0.00425727
4000,4.0,0.2286,39.6,0.00473801
1000,3.0,0.3048,71.3,0.00425727
250,12.3,0.1016,39.6,0.0408268
2500,19.7,0.0508,39.6,0.036484
2000,15.6,0.1016,39.6,0.0528487
5000,0.0,0.0254,55.5,0.00041229
2500,11.2,0.0508,39.6,0.0150478
3150,0.0,0.1016,71.3,0.00121072
800,11.2,0.0508,39.6,0.0150478
16000,0.0,0.0254,31.7,0.000439472
1000,9.9,0.1524,39.6,0.0233328
8000,0.0,0.0508,55.5,0.00076193
630,15.4,0.0508,71.3,0.0264269
1000,3.0,0.3048,31.7,0.00529514
315,15.4,0.0508,39.6,0.0282593
10000,5.3,0.2286,71.3,0.0051942
5000,5.4,0.1524,71.3,0.00401199
1600,9.9,0.1524,71.3,0.0193001
2500,0.0,0.1524,71.3,0.0015988
3150,0.0,0.3048,71.3,0.00266337
