0,1,2,3,4,5,6
3,9434,1042,1235,436,256,396
1,2153,1115,6684,4324,2894,411
3,5969,1990,3417,5679,1135,290
3,680,1610,223,862,96,379
3,11002,7075,4945,1152,120,395
3,9602,1316,1263,2921,841,290
2,3,333,7021,15601,15,550
1,8040,3795,2070,6340,918,291
3,17160,1200,3412,2417,174,1136
3,3103,14069,21955,1668,6792,1452
3,4760,1227,3250,3724,1247,1145
3,43265,5025,8117,6312,1579,14351
3,19176,3065,5956,2033,2575,2802
3,6353,8808,7684,2405,3516,7844
3,688,5491,11091,833,4239,436
3,11594,7779,12144,3252,8035,3029
3,11405,596,1638,3347,69,360
1,6623,1860,4740,7683,205,1693
3,6022,3354,3261,2507,212,686
3,13134,9347,14316,3141,5079,1894
3,1725,3651,12822,824,4424,2157
3,22039,8384,34792,42,12591,4430
3,660,8494,18622,133,6740,776
3,3136,8630,13586,5641,4666,1426
3,2647,2761,2313,907,95,1827
3,5224,7603,8584,2540,3674,238
2,1479,14982,11924,662,3891,3508
3,2771,6939,15541,2693,6600,1115
3,56082,3504,8906,18028,1480,2498
3,12238,7108,6235,1093,2328,2079
3,27901,3749,6964,4479,603,2503
2,11800,2713,3558,2121,706,51
3,10405,1596,1096,8425,399,318
1,11686,2154,6824,3527,592,697
3,23632,6730,3842,8620,385,819
2,22321,3216,1447,2208,178,2602
3,4822,6721,9170,993,4973,3637
3,11693,2317,2543,5845,274,1409
3,6300,1289,2591,1170,199,326
1,2806,10765,15538,1374,5828,2388
2,9759,25071,17645,1128,12408,1625
3,608,1106,1533,830,90,195
3,14100,2132,3445,1336,1491,548
3,717,3587,6532,7530,529,894
3,694,8533,10518,443,6907,156
3,49063,3965,4252,5970,1041,1404
3,15076,6257,7398,1504,1916,3113
2,6987,1020,3007,416,257,656
3,5981,14641,20521,2005,12218,445
3,2612,4339,3133,2088,820,985
1,5550,12729,16767,864,12420,797
1,4484,14399,24708,3549,14235,1681
1,6134,23133,33586,6746,18594,5121
3,2932,6459,7677,2561,4573,1386
3,3047,5970,4910,2198,850,317
3,16980,2884,12232,874,3213,249
3,24904,3836,5330,3443,454,3178
3,24025,4332,4757,9510,1145,5864
3,1020,8816,12121,134,4508,1080
3,24653,9465,12091,294,5058,2168
3,28257,944,2146,3881,600,270
3,381,4025,9670,388,7271,1371
3,17623,4280,7305,2279,960,2616
3,518,4180,3600,659,122,654
2,918,20655,13567,1465,6846,806
3,2615,873,1524,1103,514,468
3,3830,5291,14855,317,6694,3182
1,1838,6380,2824,1218,1216,295
3,4692,6128,8025,1619,4515,3105
3,1821,1364,3450,4006,397,361
3,31812,1433,1651,800,113,1440
3,27380,7184,12311,2809,4621,1022
3,1454,6337,10704,133,6830,1831
3,21117,1162,4754,269,1328,395
3,7823,6245,6544,4154,4074,964
3,36847,43950,20170,36534,239,47943
1,18692,3838,593,4634,28,1215
2,2137,3737,19172,1274,17120,142
3,5387,4979,3343,825,637,929
3,38793,3154,2648,1034,96,1242
3,11134,793,2988,2715,276,610
3,16117,46197,92780,1026,40827,2944
3,35942,38369,59598,3254,26701,2017
3,13146,1124,4523,1420,549,497
3,18601,6327,10099,2205,2767,3181
3,85,20959,45828,36,24231,1423
1,2083,5007,1563,1120,147,1550
3,27167,2801,2128,13223,92,1902
2,29635,2335,8280,3046,371,117
1,24929,1801,2475,2216,412,1047
3,8797,10646,14886,2471,8969,1438
3,13779,1970,1648,596,227,436
3,2438,8002,9819,6269,3459,3
3,29955,4362,5428,1729,862,4626
3,31714,12319,11757,287,3881,2931
2,2599,3688,13829,492,10069,59
3,3366,5403,12974,4400,5977,1744
3,4625,8579,7030,4575,2447,1542
3,1640,3259,3655,868,1202,1653
1,1073,9679,15445,61,5980,1265
3,7864,542,4042,9735,165,46
3,12377,865,3204,1398,149,452
3,1989,10690,19460,233,11577,2153
1,29526,7961,16966,432,363,1391
3,19899,5332,8713,8132,764,648
3,8258,2344,2147,3896,266,635
3,1406,16729,28986,673,836,3
3,5417,9933,10487,38,7572,1282
3,7149,2428,699,6316,395,911
3,18291,1266,21042,5373,4173,14472
3,9,1534,7417,175,3468,27
2,243,12939,8852,799,3909,211
3,11519,6152,10868,584,5121,1476
3,25066,5010,5026,9806,1092,960
3,12126,3199,6975,480,3140,545
1,53205,4959,7336,3012,967,818
3,8590,3045,7854,96,4095,225
3,3463,9250,2368,779,302,1627
3,11818,1648,1694,2276,169,1647
3,44466,54259,55571,7782,24171,6465
2,9790,1786,5109,3570,182,1043
3,140,8847,3823,142,1062,3
2,13970,1511,1330,650,146,778
2,13360,944,11593,915,1679,573
3,1982,3218,1493,1541,356,1449
2,4414,1610,1431,3498,387,834
3,2926,3195,3268,405,1680,693
3,6269,1095,1980,3860,609,2162
1,964,4984,3316,937,409,7
3,29729,4786,7326,6130,361,1083
