Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr
0.012658228,0.663212435,0.630769231,0.9625,0.109589041,0.470897923,0.058913542
0.122362869,0.0,1.0,0.2875,0.589041096,0.441649605,0.713083397
0.11814346,0.777202073,0.0,0.275,0.520547945,0.921322024,0.338179036
0.70464135,0.0,0.538461538,0.675,0.109589041,0.546943551,0.311400153
0.725738397,0.0,0.546153846,0.725,0.383561644,0.596665692,0.150726855
0.729957806,0.0,0.55,0.1,0.383561644,0.602515355,0.625095639
0.666666667,0.549222798,0.523076923,0.6,0.109589041,0.476747587,0.035960214
0.097046414,0.756476684,0.723076923,0.5375,0.452054795,0.35390465,0.265493497
0.594936709,0.0,0.45,0.5625,0.315068493,0.488446914,0.605967865
0.105485232,0.766839378,0.734615385,0.2375,0.794520548,0.386077801,0.391736802
0.772151899,0.658031088,0.630769231,0.6375,0.109589041,0.038022814,0.315225708
0.708860759,0.518134715,0.0,0.45,0.383561644,0.734132787,0.246365723
0.797468354,0.0,0.642307692,0.175,0.109589041,0.514770401,0.579188982
0.578059072,0.461139896,0.442307692,0.525,0.315068493,0.149166423,0.713083397
0.097890295,0.001554404,0.923076923,0.91875,0.328767123,0.213512723,0.767023718
0.014767932,0.316580311,0.918846154,0.28125,0.089041096,0.905820415,0.156082632
0.966244726,0.0,0.719230769,0.3875,0.178082192,0.339280491,0.445294568
0.76371308,0.652849741,0.0,0.625,0.109589041,0.447499269,0.368783474
0.092827004,0.0,0.719230769,0.2,0.452054795,0.824802574,0.567712318
0.109704641,0.772020725,0.734615385,0.25,0.520547945,0.394852296,0.403213466
0.666666667,0.549222798,0.523076923,0.575,0.452054795,0.122842937,0.47972456
0.080168776,0.0,0.934615385,0.25,0.452054795,0.918397192,0.21958684
0.037974684,0.549222798,0.526923077,0.6125,0.109589041,0.488446914,0.475899005
0.092827004,1.0,0.0,0.6,0.520547945,0.330505996,0.678653405
0.540084388,0.445595855,0.426923077,0.4375,0.109589041,0.365603978,0.571537873
0.033755274,0.549222798,0.523076923,0.6,0.383561644,0.125767768,0.927314461
0.64978903,0.544041451,0.0,0.5625,0.109589041,0.441649605,0.598316756
0.013080169,0.021761658,0.830384615,0.42375,0.020547945,0.998830067,0.265876052
0.147679325,0.839896373,0.917307692,0.075,0.205479452,0.717461246,0.003060444
0.582278481,0.512953368,0.488461538,0.3,0.589041096,0.298332846,0.571537873
0.042194093,0.461139896,0.442307692,0.525,0.315068493,0.444574437,0.720734507
0.637130802,0.0,0.465384615,0.2125,0.178082192,0.584966364,0.720734507
0.067510549,0.0,0.919230769,0.5,0.109589041,0.859900556,0.166029074
0.864978903,0.704663212,0.0,0.8125,0.452054795,0.181339573,0.407039021
0.071729958,0.580310881,0.553846154,0.75,0.383561644,0.628838842,0.066564652
0.679324895,0.554404145,0.0,0.325,0.109589041,0.500146242,0.667176741
0.037974684,0.922279793,0.0,0.4,0.452054795,0.739982451,0.41469013
0.021097046,0.67357513,0.642307692,0.175,0.452054795,0.511845569,0.552410099
0.046413502,0.564766839,0.534615385,0.4125,0.178082192,0.175489909,1.0
0.662447257,0.549222798,0.523076923,0.5875,0.109589041,0.114068441,0.525631217
0.746835443,0.0,0.619230769,0.5875,0.109589041,0.418250951,0.445294568
0.924050633,0.735751295,0.0,0.4125,0.452054795,0.272009359,0.525631217
0.721518987,0.575129534,0.546153846,0.7125,0.383561644,0.219362387,0.173680184
0.632911392,0.487046632,0.465384615,0.35,0.315068493,0.573267037,0.211935731
0.523206751,0.404145078,0.384615385,0.5125,0.315068493,0.456273764,0.460596787
0.088607595,0.0,0.946153846,0.175,0.178082192,0.956420006,0.250191278
0.573839662,0.424870466,0.403846154,0.625,0.315068493,0.573267037,0.150726855
0.033755274,0.0,0.873076923,1.0,0.109589041,0.122842937,0.812547819
0.683544304,0.554404145,0.0,0.625,0.383561644,0.505995905,0.399387911
0.097046414,0.0,0.961538462,0.1,0.520547945,0.997367651,0.181331293
0.667932489,0.0,0.922692308,0.9525,0.267123288,0.211465341,0.314843152
0.513924051,0.455958549,0.921538462,0.19125,0.219178082,0.675343668,0.020657995
0.776371308,0.0,0.630769231,0.375,0.04109589,0.473822755,0.510328998
0.742616034,0.580310881,0.0,0.75,0.383561644,0.251535537,0.567712318
0.64978903,0.538860104,0.0,0.8875,0.315068493,0.435799942,0.322876817
0.013080169,0.061139896,0.869615385,0.5975,0.034246575,0.915179877,0.165263963
0.092827004,0.0,0.953846154,0.1875,0.520547945,0.973968997,0.16220352
0.742616034,0.642487047,0.0,0.5625,0.452054795,0.403626791,0.449120122
0.012658228,0.663212435,0.630769231,0.2875,0.520547945,0.476747587,0.514154552
0.025316456,0.678756477,0.646153846,0.7125,0.109589041,0.535244223,0.120122418
0.105485232,0.766839378,0.730769231,0.2375,1.0,0.380228137,0.384085692
0.670886076,0.502590674,0.0,0.7375,0.315068493,0.655162328,0.169854629
0.839662447,0.694300518,0.0,0.775,0.109589041,0.140391927,0.560061209
0.077637131,0.632642487,0.923076923,0.24875,0.157534247,0.756946476,0.045524101
0.033755274,0.917098446,0.873076923,0.6125,0.452054795,0.1286926,0.28462127
0.026582278,0.475647668,0.922307692,0.51,0.123287671,0.751096812,0.024866106
