Cemment,Slag,Fly_ash,Water,SP,Coarse_Aggr,Fine_Aggr
0.012658228,0.663212435,0.630769231,0.9625,0.109589041,0.470897923,0.058913542
0.772151899,0.658031088,0.630769231,0.6375,0.109589041,0.038022814,0.315225708
0.46835443,0.523316062,0.922692308,0.11375,0.226027397,0.707516818,0.013389441
0.70464135,0.0,0.538461538,0.675,0.109589041,0.546943551,0.311400153
0.578059072,0.461139896,0.442307692,0.525,0.315068493,0.149166423,0.713083397
0.915611814,0.0,0.0,0.925,0.109589041,0.734132787,0.192807957
0.105485232,0.766839378,0.730769231,0.2375,1.0,0.380228137,0.384085692
0.151054852,0.820207254,0.921153846,0.08,0.205479452,0.715413864,0.013389441
0.64978903,0.538860104,0.0,0.8875,0.315068493,0.435799942,0.322876817
0.046413502,0.564766839,0.534615385,0.4125,0.178082192,0.175489909,1.0
0.077637131,0.632642487,0.923076923,0.24875,0.157534247,0.756946476,0.045524101
0.632911392,0.487046632,0.465384615,0.35,0.315068493,0.573267037,0.211935731
0.721518987,0.575129534,0.546153846,0.7125,0.383561644,0.219362387,0.173680184
0.11814346,0.777202073,0.0,0.275,0.520547945,0.921322024,0.338179036
0.092827004,1.0,0.0,0.6,0.520547945,0.330505996,0.678653405
0.119409283,0.741968912,0.916538462,0.505,0.184931507,0.512430535,0.045906656
0.637130802,0.0,0.465384615,0.2125,0.178082192,0.584966364,0.720734507
0.894514768,0.0,0.684615385,0.875,0.109589041,0.22521205,0.307574598
0.080168776,0.0,0.934615385,0.25,0.452054795,0.918397192,0.21958684
0.063291139,0.0,0.911538462,0.55,0.109589041,0.22521205,0.961744453
0.523206751,0.404145078,0.384615385,0.5125,0.315068493,0.456273764,0.460596787
0.026582278,0.475647668,0.922307692,0.51,0.123287671,0.751096812,0.024866106
0.097046414,0.756476684,0.723076923,0.5375,0.452054795,0.35390465,0.265493497
0.58649789,0.466321244,0.446153846,0.25,0.315068493,0.473822755,0.487375669
0.675527426,0.211917098,0.922692308,0.425,0.212328767,0.587598713,0.042846213
0.839662447,0.694300518,0.0,0.775,0.109589041,0.140391927,0.560061209
0.012658228,0.007253886,0.761923077,0.18625,0.0,1.0,0.535195103
0.025316456,0.678756477,0.646153846,0.7125,0.109589041,0.535244223,0.120122418
0.776371308,0.0,0.630769231,0.375,0.04109589,0.473822755,0.510328998
0.0,0.865284974,0.823076923,0.825,0.109589041,0.0,0.445294568
0.797468354,0.0,0.642307692,0.175,0.109589041,0.514770401,0.579188982
0.071729958,0.580310881,0.553846154,0.75,0.383561644,0.628838842,0.066564652
0.717299578,0.569948187,0.0,0.3625,0.383561644,0.573267037,0.475899005
0.594936709,0.0,0.45,0.5625,0.315068493,0.488446914,0.605967865
0.013080169,0.061139896,0.869615385,0.5975,0.034246575,0.915179877,0.165263963
1.0,0.0,0.0,0.375,0.178082192,0.892073706,0.342004591
0.780590717,0.601036269,0.0,0.45,0.383561644,0.3217315,0.659525631
0.021097046,0.67357513,0.642307692,0.175,0.452054795,0.511845569,0.552410099
0.056540084,0.574611399,0.921923077,0.10125,0.143835616,0.854635858,0.101759755
0.147679325,0.839896373,0.917307692,0.075,0.205479452,0.717461246,0.003060444
0.033755274,0.917098446,0.873076923,0.6125,0.452054795,0.1286926,0.28462127
