day_of_yr,season,yr_since_2011,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
267,4,1,9,0,0,0,1,0.529167,0.518933,0.467083,0.223258
263,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954
297,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792
320,4,1,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987
196,3,1,7,0,6,0,2,0.703333,0.666042,0.699167,0.143679
239,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617
82,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261
101,2,1,4,0,2,1,1,0.446667,0.436233,0.435,0.249375
24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833
254,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054
6,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908
26,1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958
277,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854
357,1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246
56,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539
255,3,1,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542
312,4,1,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108
216,3,1,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792
172,2,1,6,0,3,1,1,0.7825,0.720975,0.592083,0.113812
146,2,1,5,0,5,1,1,0.68,0.627529,0.747083,0.14055
262,3,1,9,0,2,1,2,0.623333,0.565067,0.8725,0.357587
291,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087
318,4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046
99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083
95,2,1,4,0,3,1,1,0.541667,0.53345,0.469583,0.180975
62,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904
120,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075
301,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692
264,3,1,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167
213,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717
113,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725
306,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917
174,3,1,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842
337,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833
57,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571
132,2,1,5,0,5,1,1,0.533333,0.520833,0.360417,0.236937
132,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667
69,1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148
80,1,1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271
2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539
24,1,1,1,0,2,1,1,0.3425,0.349108,0.835833,0.123767
87,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204
165,2,1,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279
126,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246
279,4,1,10,0,5,1,1,0.615,0.580187,0.6275,0.10635
134,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495
266,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667
303,4,1,10,0,1,1,3,0.44,0.4394,0.88,0.3582
339,4,1,12,0,2,1,1,0.475833,0.469054,0.73375,0.174129
227,3,1,8,0,2,1,1,0.726667,0.676779,0.686667,0.169158
116,2,1,4,0,3,1,1,0.476667,0.470317,0.427917,0.118792
300,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763
191,3,1,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975
33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308
237,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833
22,1,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638
309,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062
287,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883
165,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283
43,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212
345,4,1,12,0,1,1,2,0.435833,0.435575,0.925,0.190308
86,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821
278,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725
201,3,1,7,0,4,1,1,0.77,0.714642,0.600417,0.165429
252,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379
214,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585
65,1,1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858
151,2,1,5,0,3,1,2,0.656667,0.611129,0.67,0.134329
173,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262
299,4,1,10,0,4,1,2,0.55,0.529688,0.800417,0.124375
354,4,1,12,0,3,1,1,0.3325,0.342162,0.625417,0.184092
139,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213
25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796
95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067
357,1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346
341,4,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175
40,1,1,2,0,4,1,1,0.265,0.261988,0.562083,0.194037
330,4,1,11,0,0,0,1,0.245833,0.257583,0.468333,0.1505
362,1,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133
247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467
198,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033
19,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158
29,1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005
36,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996
120,2,1,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908
118,2,1,4,0,5,1,1,0.4575,0.452637,0.400833,0.347633
218,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825
138,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492
84,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725
77,1,1,3,0,6,0,2,0.514167,0.505046,0.755833,0.110704
79,1,1,3,0,1,1,1,0.545,0.532821,0.72875,0.162317
81,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575
359,1,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304
154,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121
220,3,1,8,0,2,1,2,0.735833,0.697621,0.70375,0.116908
178,3,1,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642
105,2,1,4,0,6,0,1,0.495,0.487996,0.502917,0.190917
147,2,1,5,0,6,0,1,0.6925,0.642696,0.7325,0.198992
358,1,0,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304
350,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575
237,3,1,8,0,5,1,2,0.7025,0.6471,0.615,0.0721458
273,4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604
169,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408
20,1,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275
10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267
194,3,1,7,0,4,1,1,0.715833,0.654683,0.529583,0.146775
223,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796
310,4,1,11,0,1,1,1,0.319167,0.308075,0.494167,0.236325
328,4,0,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304
348,4,1,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129
176,3,1,6,0,0,0,1,0.743333,0.674254,0.479167,0.145525
53,1,1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471
193,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254
217,3,1,8,0,6,0,1,0.793333,0.751267,0.613333,0.257458
229,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667
125,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392
121,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354
